SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2015-16,UCLA,Pac-12,31,11,672,4.2,10.2,0.415,3.5,7.2,0.483,0.7,3,0.25,2.7,3.7,0.733,12.5,2.7,1.7,2.2,2.2,5.3,12,105.9,103.7,Jonah Bolden,jonah-bolden-1
Career,UCLA,,31,11,672,4.2,10.2,0.415,3.5,7.2,0.483,0.7,3,0.25,2.7,3.7,0.733,12.5,2.7,1.7,2.2,2.2,5.3,12,105.9,103.7,Jonah Bolden,jonah-bolden-1
2016-17,Florida State,ACC,32,32,839,8.5,16.8,0.508,6.5,11,0.593,2,5.8,0.348,6,7.8,0.78,16.5,2.4,2.4,3.2,3.2,4.6,25.2,122.2,93.6,Jonathan Isaac,jonathan-isaac-1
Career,Florida State,,32,32,839,8.5,16.8,0.508,6.5,11,0.593,2,5.8,0.348,6,7.8,0.78,16.5,2.4,2.4,3.2,3.2,4.6,25.2,122.2,93.6,Jonathan Isaac,jonathan-isaac-1
2014-15,Oregon,Pac-12,35,20,831,5.9,9.8,0.597,5.9,9.8,0.597,0,0,,0.8,1.5,0.524,15.1,3.3,2,6.7,2.6,6.7,12.5,116,95.8,Jordan Bell,jordan-bell-1
2015-16,Oregon,Pac-12,31,4,636,8.2,14.3,0.576,8.2,14.1,0.583,0,0.2,0,2.5,4.9,0.519,14.7,3.4,3.1,4.7,4.5,7,19,104.8,91.9,Jordan Bell,jordan-bell-1
2016-17,Oregon,Pac-12,39,38,1124,8.8,13.9,0.636,8.7,13.2,0.659,0.2,0.7,0.214,4.2,6,0.701,17.7,3.6,2.5,4.5,3.9,3.5,22.1,123.8,89.1,Jordan Bell,jordan-bell-1
Career,Oregon,,105,62,2591,7.7,12.7,0.61,7.7,12.3,0.622,0.1,0.4,0.188,2.7,4.3,0.63,16.1,3.5,2.5,5.3,3.6,5.4,18.3,116.7,91.9,Jordan Bell,jordan-bell-1
2011-12,Houston,CUSA,30,29,902,10.1,19.7,0.512,8,14.3,0.56,2.1,5.4,0.386,6.6,9.2,0.716,9.8,4.3,1.4,0.7,6.6,4.9,28.9,106.4,107.1,Jonathon Simmons,jonathon-simmons-1
Career,Houston,,30,29,902,10.1,19.7,0.512,8,14.3,0.56,2.1,5.4,0.386,6.6,9.2,0.716,9.8,4.3,1.4,0.7,6.6,4.9,28.9,106.4,107.1,Jonathon Simmons,jonathon-simmons-1
2012-13,UCLA,Pac-12,33,27,999,9.5,21.2,0.447,6.8,12.6,0.543,2.6,8.6,0.307,7.4,8.8,0.843,7.3,3.3,4.2,0.7,2.3,4,29.1,118.1,97.1,Jordan Adams,jordan-adams-1
2013-14,UCLA,Pac-12,36,36,1082,11,22.6,0.485,8.2,14.9,0.551,2.7,7.7,0.356,8.3,10,0.836,10.1,4.4,5,0.3,2.9,4.1,33,125.1,96.9,Jordan Adams,jordan-adams-1
Career,UCLA,,69,63,2081,10.3,22,0.467,7.6,13.8,0.548,2.7,8.2,0.331,7.9,9.4,0.839,8.8,3.9,4.6,0.5,2.6,4,31.1,122,97,Jordan Adams,jordan-adams-1
2010-11,Tulsa,CUSA,27,9,672,8.7,20.1,0.433,6.9,14.2,0.487,1.8,5.9,0.303,8.6,10.9,0.793,5,4.7,1.8,0.3,7,5.6,27.9,99.5,104.4,Jordan Clarkson,jordan-clarkson-1
2011-12,Tulsa,CUSA,31,31,1052,9.9,22.7,0.435,7.3,15.9,0.461,2.5,6.8,0.374,7.9,10.1,0.784,7.1,4.7,1.7,1,4.9,4.3,30.2,109.5,101.2,Jordan Clarkson,jordan-clarkson-1
2013-14,Missouri,SEC,35,35,1228,10.4,23.1,0.448,8.8,17.5,0.501,1.6,5.6,0.281,8,9.7,0.831,6.6,5.8,1.9,0.3,4.6,3.8,30.3,112.7,108.2,Jordan Clarkson,jordan-clarkson-1
Career,Overall,,93,75,2952,9.8,22.3,0.44,7.8,16.2,0.485,2,6.1,0.322,8.1,10.1,0.805,6.4,5.2,1.8,0.5,5.3,4.4,29.7,108.5,104.9,Jordan Clarkson,jordan-clarkson-1
2009-10,Texas,Big 12,34,0,676,9.9,24.1,0.41,5.2,11.3,0.461,4.7,12.8,0.365,3,5.1,0.578,10.1,4,2.2,1,3.8,3.5,27.4,108.6,95.7,Jordan Hamilton,jordan-hamilton-2
2010-11,Texas,Big 12,36,36,1159,12.4,28.1,0.44,7.8,16.2,0.481,4.6,11.9,0.385,4.8,6.2,0.779,14.1,3.9,1.6,1.2,3.9,3.3,34.2,115.5,90.6,Jordan Hamilton,jordan-hamilton-2
Career,Texas,,70,36,1835,11.4,26.6,0.43,6.8,14.3,0.475,4.6,12.3,0.377,4.1,5.8,0.71,12.5,3.9,1.8,1.1,3.9,3.3,31.6,113.1,92.5,Jordan Hamilton,jordan-hamilton-2
2011-12,Furman,Southern,27,13,565,5.9,16,0.37,4.4,10.2,0.43,1.5,5.8,0.264,4.3,6.2,0.684,10.2,5.2,1.6,0.4,5,6.6,17.7,92.5,102.5,Jordan Loyd,jordan-loyd-1
2012-13,Furman,Southern,1,0,23,2.7,10.8,0.25,2.7,8.1,0.333,0,2.7,0,5.4,13.4,0.4,13.4,10.8,0,0,0,2.7,10.8,97.8,109.4,Jordan Loyd,jordan-loyd-1
Career,Furman,,28,13,588,5.8,15.8,0.367,4.3,10.1,0.427,1.5,5.7,0.259,4.3,6.5,0.661,10.3,5.4,1.6,0.4,4.8,6.4,17.4,92.6,102.8,Jordan Loyd,jordan-loyd-1
2010-11,Tennessee,SEC,10,0,53,6.7,21.4,0.316,5.6,11.2,0.5,1.1,10.1,0.111,5.6,12.4,0.455,9,0,2.2,4.5,5.6,5.6,20.2,72.1,98.1,Jordan McRae,jordan-mcrae-1
2011-12,Tennessee,SEC,34,15,738,8,21.3,0.377,4.8,11.5,0.42,3.2,9.9,0.328,5,6.6,0.759,8.2,4.3,1.7,2.2,4.1,4.8,24.3,100.5,99.5,Jordan McRae,jordan-mcrae-1
2012-13,Tennessee,SEC,33,22,1107,9.7,23,0.423,6.3,13.3,0.472,3.4,9.7,0.355,6.8,8.8,0.771,7.8,3.8,1.5,1.7,5.3,4.4,29.7,106.2,101.3,Jordan McRae,jordan-mcrae-1
2013-14,Tennessee,SEC,37,37,1190,11.9,27.4,0.436,7.7,15.4,0.502,4.2,12,0.351,8.9,11.3,0.788,6.9,4.9,1.3,2,4.1,4.2,37,119.2,100.7,Jordan McRae,jordan-mcrae-1
Career,Tennessee,,114,74,3088,10.1,24.2,0.417,6.5,13.6,0.475,3.6,10.6,0.343,7.1,9.3,0.769,7.6,4.3,1.5,2,4.6,4.4,31,109.7,100.6,Jordan McRae,jordan-mcrae-1
2013-14,LSU,SEC,34,34,1116,8.8,16.5,0.534,8.8,16.2,0.543,0,0.3,0,4.6,6.7,0.695,13.6,1.8,1.1,5.4,4,3.8,22.2,107.3,98.7,Jordan Mickey,jordan-mickey-1
2014-15,LSU,SEC,31,31,1081,10.1,20.1,0.504,10.1,19.7,0.514,0.1,0.5,0.111,5,7.8,0.646,16.4,2.1,1.5,6,5.4,4.3,25.4,99.7,90.2,Jordan Mickey,jordan-mickey-1
Career,LSU,,65,65,2197,9.5,18.3,0.518,9.4,17.9,0.527,0,0.4,0.071,4.8,7.2,0.669,15,2,1.3,5.7,4.7,4,23.8,103.1,94.5,Jordan Mickey,jordan-mickey-1
2010-11,Ohio State,Big Ten,25,0,209,5.4,18.5,0.29,3,9,0.333,2.4,9.6,0.25,2.4,4.5,0.533,7.5,4.2,3,0.3,3.9,6.6,15.5,85.1,94.3,Jordan Sibert,jordan-sibert-1
2011-12,Ohio State,Big Ten,24,2,273,5.3,17.3,0.304,2.4,6.4,0.379,2.9,11,0.26,2.2,3.9,0.556,7.2,3.9,2.4,0.2,3.1,4.6,15.6,89.1,92.4,Jordan Sibert,jordan-sibert-1
2013-14,Dayton,A-10,37,34,963,9.3,20.5,0.455,4.1,8.1,0.5,5.3,12.4,0.426,4.7,6.6,0.712,5.3,3.5,1.9,0.3,2.9,4.1,28.6,120.7,105.4,Jordan Sibert,jordan-sibert-1
2014-15,Dayton,A-10,36,35,1215,9.1,19.9,0.456,5,8.2,0.61,4.1,11.7,0.349,7.4,9.4,0.788,6,3.6,3.2,0.3,3.3,3.7,29.7,114.5,95.2,Jordan Sibert,jordan-sibert-1
Career,Overall,,122,71,2660,8.5,19.7,0.43,4.2,8,0.526,4.3,11.7,0.364,5.5,7.4,0.738,6,3.7,2.6,0.3,3.2,4.2,26.7,112.4,98.6,Jordan Sibert,jordan-sibert-1
2009-10,Maryland,ACC,33,31,817,8.8,17.1,0.512,8.8,17.1,0.512,0,0,,4.5,8.4,0.529,19.8,0.5,1.7,2.2,2.2,6.3,22,112.5,91.1,Jordan Williams,jordan-williams-1
2010-11,Maryland,ACC,33,33,1073,11.1,20.6,0.538,11.1,20.6,0.538,0,0,,6.8,11.8,0.575,20.1,1.1,1.2,2.3,2.8,4.2,28.9,115.1,89.9,Jordan Williams,jordan-williams-1
Career,Maryland,,66,64,1890,10.1,19.1,0.528,10.1,19.1,0.528,0,0,,5.8,10.4,0.559,20,0.8,1.4,2.3,2.5,5.1,26,114.1,90.4,Jordan Williams,jordan-williams-1
2008-09,California,Pac-10,33,0,618,,,0.452,,,0.49,,,0.308,,,0.642,,,,,,,,,,Jorge Gutierrez,jorge-gutierrez-1
2009-10,California,Pac-10,30,13,641,5.1,12,0.42,3.6,8.5,0.424,1.5,3.6,0.41,3.5,5.8,0.603,8.2,7.4,2.6,0.2,4,6.6,15.1,104.4,100.5,Jorge Gutierrez,jorge-gutierrez-1
2010-11,California,Pac-10,33,33,1104,7.6,18.4,0.411,5.7,12.6,0.448,1.9,5.8,0.33,8.5,10.6,0.801,6.6,7.8,2.8,0.4,5.3,4.7,25.6,106.4,104.1,Jorge Gutierrez,jorge-gutierrez-1
2011-12,California,Pac-12,33,33,1062,8.9,20.1,0.444,7.5,15.8,0.475,1.4,4.3,0.329,5.1,6.9,0.744,9.9,7.7,2.2,0.2,4.4,4.5,24.4,106.1,93.7,Jorge Gutierrez,jorge-gutierrez-1
Career,California,,129,79,3425,7.5,17.6,0.43,5.9,12.9,0.461,1.6,4.7,0.34,6.1,8.1,0.737,8.2,7.7,2.5,0.3,4.7,5.1,22.7,106,99.4,Jorge Gutierrez,jorge-gutierrez-1
2012-13,Texas Tech,Big 12,31,31,828,7.5,20.7,0.363,6.4,15,0.429,1.1,5.7,0.188,4.4,6.3,0.697,5.4,7,4.3,0.1,7.2,5.4,20.5,82.7,106.8,Josh Gray,josh-gray-1
2014-15,LSU,SEC,31,20,770,6.4,16.2,0.396,5.4,12.2,0.439,1,4,0.264,2.6,4.5,0.583,4.9,8.8,2.3,0.1,6,4.6,16.5,87.7,99.9,Josh Gray,josh-gray-1
2015-16,LSU,SEC,32,9,496,7.7,17.6,0.44,6.9,13.4,0.512,0.9,4.2,0.211,2.9,4.4,0.65,7.3,6.4,3.4,0.1,5.1,6,19.3,91.9,104.1,Josh Gray,josh-gray-1
Career,Overall,,94,60,2094,7.2,18.3,0.392,6.2,13.6,0.453,1,4.7,0.216,3.4,5.2,0.651,5.7,7.5,3.4,0.1,6.2,5.2,18.7,86.5,103.6,Josh Gray,josh-gray-1
2008-09,Kentucky,SEC,34,2,315,,,0.447,,,0.466,,,0.333,,,0.722,,,,,,,,,,Josh Harrellson,josh-harrellson-1
2009-10,Kentucky,SEC,22,0,88,7.8,16.9,0.462,6.5,14.3,0.455,1.3,2.6,0.5,1.3,1.3,1,17.5,0,1.3,4.5,3.9,5.2,18.2,101,88.6,Josh Harrellson,josh-harrellson-1
2010-11,Kentucky,SEC,38,38,1083,7.1,11.6,0.611,7,11.1,0.631,0.1,0.6,0.2,1.8,3.1,0.589,18.4,1.7,2,3.2,1.6,5.1,16.1,134.3,92.6,Josh Harrellson,josh-harrellson-1
Career,Kentucky,,94,40,1486,7.1,12,0.549,6.9,11.3,0.571,0.2,0.7,0.31,1.8,3,0.649,18.3,1.5,1.9,3.3,1.7,5.1,16.3,131.1,92.3,Josh Harrellson,josh-harrellson-1
2013-14,Villanova,Big East,34,1,728,7.1,14.1,0.5,5,7.4,0.67,2.1,6.7,0.313,5.3,7.8,0.677,12.3,2.4,1.5,0.7,1.5,6.7,21.5,131.6,99.4,Josh Hart,josh-hart-1
2014-15,Villanova,Big East,36,2,917,8.3,16.2,0.515,4.8,8.7,0.558,3.5,7.5,0.464,4.4,6.5,0.67,10.8,3.6,2.7,0.9,2.6,5.1,24.5,128.8,94.5,Josh Hart,josh-hart-1
2015-16,Villanova,Big East,40,39,1255,10.9,21.2,0.513,8.3,13.9,0.595,2.6,7.3,0.357,4.9,6.5,0.752,12.8,3.6,2.2,0.5,3.1,4.1,29.3,120,94.3,Josh Hart,josh-hart-1
2016-17,Villanova,Big East,36,35,1193,12.1,23.7,0.51,8.3,14.3,0.579,3.8,9.3,0.404,6.5,8.7,0.747,11.7,5.4,2.9,0.5,3.6,4.1,34.4,125.1,94.5,Josh Hart,josh-hart-1
Career,Villanova,,146,77,4093,10,19.5,0.511,6.9,11.7,0.592,3,7.8,0.389,5.3,7.4,0.72,12,3.9,2.4,0.6,2.9,4.8,28.3,125,95.3,Josh Hart,josh-hart-1
2010-11,Stanford,Pac-10,28,0,276,5.3,12.1,0.436,4.8,9.9,0.489,0.4,2.2,0.2,2.9,4.4,0.65,12.3,1.5,0.7,1.5,1.5,3.7,13.9,112.4,101.7,Josh Huestis,josh-huestis-1
2011-12,Stanford,Pac-12,37,5,742,5.8,13.3,0.437,4.9,9.9,0.492,1,3.4,0.279,3,5.9,0.514,14,2.6,1.4,3.4,2.2,4.8,15.6,108.5,91.2,Josh Huestis,josh-huestis-1
2012-13,Stanford,Pac-12,34,34,1092,7.5,16.2,0.46,6.1,12.1,0.502,1.4,4.1,0.338,2.9,4.3,0.667,16.5,1.6,1.4,3.8,2.6,4.1,19.2,110.8,94.9,Josh Huestis,josh-huestis-1
2013-14,Stanford,Pac-12,36,36,1266,7.4,16.3,0.451,6.1,12.7,0.483,1.2,3.6,0.338,3,4.8,0.627,13.9,2,1,3.3,2,3.6,18.9,110.2,100.7,Josh Huestis,josh-huestis-1
Career,Stanford,,135,75,3376,6.9,15.3,0.451,5.7,11.6,0.492,1.2,3.6,0.319,3,4.9,0.61,14.6,2,1.2,3.3,2.2,4,17.9,110.2,96.8,Josh Huestis,josh-huestis-1
2016-17,Kansas,Big 12,35,35,1077,11.5,22.3,0.513,9.7,17.6,0.549,1.8,4.7,0.378,5.1,9,0.566,13.4,5.4,3.1,1.9,5,5.4,29.8,110.9,96.1,Josh Jackson,josh-jackson-2
Career,Kansas,,35,35,1077,11.5,22.3,0.513,9.7,17.6,0.549,1.8,4.7,0.378,5.1,9,0.566,13.4,5.4,3.1,1.9,5,5.4,29.8,110.9,96.1,Josh Jackson,josh-jackson-2
2016-17,Georgia Tech,ACC,37,37,1141,9.8,21.7,0.453,8.4,18,0.468,1.4,3.7,0.384,9.1,12.2,0.747,10.2,3.1,2.4,1.4,3.9,4.8,30.2,107.8,96.9,Josh Okogie,josh-okogie-1
2017-18,Georgia Tech,ACC,24,24,873,9.2,22,0.416,6.5,15.2,0.432,2.6,6.9,0.38,9.2,11.2,0.821,10.3,4.1,2.9,1.6,4.2,4.8,30.1,111.3,102,Josh Okogie,josh-okogie-1
Career,Georgia Tech,,61,61,2014,9.5,21.8,0.437,7.6,16.8,0.454,1.9,5,0.382,9.1,11.8,0.777,10.2,3.5,2.6,1.5,4,4.8,30.1,109.3,99.1,Josh Okogie,josh-okogie-1
2011-12,Tennessee,SEC,34,9,543,4.1,11.5,0.353,3,7.2,0.422,1,4.3,0.237,1.8,2.8,0.64,5.3,2.7,2,2.1,3.6,6.9,10.9,83.5,101.8,Josh Richardson,josh-richardson-2
2012-13,Tennessee,SEC,33,33,1013,6.2,13.2,0.469,5.6,10.6,0.533,0.6,2.6,0.214,3.4,4.9,0.692,8.9,3.2,2.2,1.4,3.4,5.1,16.3,103.5,99.6,Josh Richardson,josh-richardson-2
2013-14,Tennessee,SEC,37,36,1124,7.9,16.6,0.474,6,10.9,0.544,1.9,5.7,0.34,3.9,4.9,0.793,6,3.2,1.5,1.7,2.1,4.5,21.6,122.2,101.5,Josh Richardson,josh-richardson-2
2014-15,Tennessee,SEC,32,32,1162,10.4,22.4,0.461,7.8,15.2,0.509,2.6,7.2,0.359,5.6,7,0.798,8,6.5,3.8,0.9,4.8,4.4,28.9,112.9,103.1,Josh Richardson,josh-richardson-2
Career,Tennessee,,136,110,3842,7.6,16.7,0.456,6,11.6,0.516,1.6,5.1,0.318,3.9,5.2,0.758,7.3,4.1,2.4,1.5,3.5,5,20.8,109.9,101.5,Josh Richardson,josh-richardson-2
2010-11,Kansas,Big 12,26,11,530,7.8,20.9,0.373,4.1,10.7,0.384,3.7,10.2,0.362,3,4,0.757,6.3,6.1,2.3,0.1,5.7,4.8,22.3,95.5,96.5,Josh Selby,josh-selby-1
Career,Kansas,,26,11,530,7.8,20.9,0.373,4.1,10.7,0.384,3.7,10.2,0.362,3,4,0.757,6.3,6.1,2.3,0.1,5.7,4.8,22.3,95.5,96.5,Josh Selby,josh-selby-1
2011-12,UTEP,CUSA,31,30,1055,8.7,19.3,0.451,7.4,15.3,0.48,1.3,4,0.338,2.4,4.3,0.563,6.5,3,1.7,0.7,3.8,3.7,21.2,92.5,102.4,Julian Washburn,julian-washburn-1
2012-13,UTEP,CUSA,32,32,1106,9.4,20.9,0.448,8.8,18.2,0.487,0.5,2.8,0.191,3.7,5.3,0.7,7.8,3.2,1.6,0.6,3.5,3.8,23,96.7,101.6,Julian Washburn,julian-washburn-1
2013-14,UTEP,CUSA,34,33,1170,8.5,20,0.426,6,13,0.46,2.5,6.9,0.364,3.9,4.9,0.787,6.3,4.5,1.7,0.7,2.6,2.7,23.4,109.7,100.1,Julian Washburn,julian-washburn-1
2014-15,UTEP,CUSA,33,31,1117,7,16.8,0.415,4.8,11,0.433,2.2,5.8,0.381,2.5,3.5,0.719,7.4,4.7,1.6,1,2.3,3.5,18.6,106.9,99.9,Julian Washburn,julian-washburn-1
Career,UTEP,,130,126,4448,8.4,19.2,0.435,6.7,14.3,0.468,1.7,4.9,0.341,3.2,4.5,0.699,7,3.9,1.7,0.8,3,3.4,21.6,101.5,100.9,Julian Washburn,julian-washburn-1
2013-14,Kentucky,SEC,40,40,1233,9.6,19.2,0.501,9.5,18.3,0.517,0.1,0.9,0.167,10,14.2,0.706,20.5,2.8,1,1.5,5,4.5,29.5,115.9,97.8,Julius Randle,julius-randle-1
Career,Kentucky,,40,40,1233,9.6,19.2,0.501,9.5,18.3,0.517,0.1,0.9,0.167,10,14.2,0.706,20.5,2.8,1,1.5,5,4.5,29.5,115.9,97.8,Julius Randle,julius-randle-1
2007-08,UTEP,CUSA,33,25,720,,,0.341,,,0.417,,,0.235,,,0.566,,,,,,,,,,Julyan Stone,julyan-stone-1
2008-09,UTEP,CUSA,37,36,1247,,,0.358,,,0.416,,,0.262,,,0.691,,,,,,,,,,Julyan Stone,julyan-stone-1
2009-10,UTEP,CUSA,33,33,1015,3.6,8.4,0.43,2.8,5.6,0.495,0.8,2.8,0.3,3.3,5.2,0.641,9.5,10.2,2.9,0.8,3.8,4.1,11.4,106.4,90.1,Julyan Stone,julyan-stone-1
2010-11,UTEP,CUSA,35,35,1279,4.8,9.3,0.51,4.2,7,0.596,0.6,2.4,0.255,3.6,6.4,0.561,12.1,8.5,2.4,1,3,3.8,13.7,113.6,90.8,Julyan Stone,julyan-stone-1
Career,UTEP,,138,129,4261,4.2,8.9,0.425,3.5,6.4,0.504,0.7,2.6,0.265,3.5,5.9,0.617,10.9,9.3,2.6,0.9,3.4,4,12.7,110.4,90.5,Julyan Stone,julyan-stone-1
2012-13,Virginia,ACC,35,17,841,6.9,16.4,0.42,5.4,11.3,0.473,1.6,5.1,0.303,5.3,6.9,0.764,9,6.3,2.3,3.3,3.3,3.8,20.6,108.9,90.6,Justin Anderson,justin-anderson-1
2013-14,Virginia,ACC,37,5,799,7.9,19.5,0.407,5.5,11.1,0.493,2.5,8.4,0.294,5.6,7.9,0.716,9.9,4.5,1.1,2.3,4.2,4.8,24,103.4,93.5,Justin Anderson,justin-anderson-1
2014-15,Virginia,ACC,26,22,724,9.7,20.8,0.466,5.3,11,0.479,4.4,9.8,0.452,6,7.7,0.78,9.9,4.2,1.6,1.3,2.9,2.8,29.9,123.5,89.4,Justin Anderson,justin-anderson-1
Career,Virginia,,98,44,2364,8.1,18.8,0.43,5.4,11.2,0.481,2.7,7.6,0.357,5.6,7.5,0.752,9.6,5.1,1.7,2.4,3.5,3.8,24.5,111.4,91.2,Justin Anderson,justin-anderson-1
2008-09,Iowa State,Big 12,32,18,438,,,0.57,,,0.57,,,,,,0.656,,,,,,,,,,Justin Hamilton,justin-hamilton-2
2009-10,Iowa State,Big 12,31,31,663,6.4,10.4,0.617,6.4,10.4,0.617,0,0,,4.3,6.1,0.7,14.5,0.9,0.7,2.9,2.6,6.2,17.1,124.7,101.1,Justin Hamilton,justin-hamilton-2
2011-12,LSU,SEC,33,32,990,9.6,19.5,0.494,9.5,18.8,0.503,0.2,0.7,0.25,6.5,8.4,0.781,14.5,1.8,1.5,2.6,3.5,5.1,26,113.1,96.5,Justin Hamilton,justin-hamilton-2
Career,Overall,,96,81,2091,8.3,15.8,0.535,8.2,15.4,0.542,0.1,0.4,0.25,5.6,7.4,0.741,14.5,1.4,1.2,2.7,3.1,5.5,22.4,116.7,98.5,Justin Hamilton,justin-hamilton-2
2007-08,Richmond,A-10,29,0,249,,,0.45,,,0.541,,,0.372,,,0.412,,,,,,,,,,Justin Harper,justin-harper-1
2008-09,Richmond,A-10,36,24,832,,,0.411,,,0.477,,,0.336,,,0.675,,,,,,,,,,Justin Harper,justin-harper-1
2009-10,Richmond,A-10,35,35,874,9.9,20.4,0.483,6.9,11.8,0.583,3,8.6,0.344,3.4,5.1,0.681,13.3,2.5,1.9,2.2,3.4,5.8,26.1,110.8,93.6,Justin Harper,justin-harper-1
2010-11,Richmond,A-10,37,37,1178,13.2,24.7,0.534,9,15.4,0.585,4.1,9.2,0.448,5.1,6.3,0.797,13.8,2.3,1.2,2.5,3,4.4,35.5,123.6,94.9,Justin Harper,justin-harper-1
Career,Richmond,,137,96,3133,11.7,22.8,0.483,8.1,13.9,0.557,3.6,9,0.382,4.4,5.8,0.711,13.6,2.4,1.5,2.3,3.2,5,31.5,118.4,94.3,Justin Harper,justin-harper-1
2007-08,Washington,Pac-10,19,0,125,,,0.294,,,0.385,,,0,,,0.429,,,,,,,,,,Justin Holiday,justin-holiday-1
2008-09,Washington,Pac-10,35,0,545,,,0.441,,,0.453,,,0.25,,,0.619,,,,,,,,,,Justin Holiday,justin-holiday-1
2009-10,Washington,Pac-10,34,21,755,5.8,13.6,0.422,5,11.4,0.439,0.7,2.2,0.333,2.3,2.9,0.8,11.1,4.5,2.5,1.5,2.3,4.3,14.6,111.6,96.1,Justin Holiday,justin-holiday-1
2010-11,Washington,Pac-10,35,35,989,7.7,16.7,0.465,5.1,9.3,0.548,2.6,7.4,0.359,2.5,3.2,0.772,10.2,4.2,2.3,1.6,2.9,4,20.6,118.6,98.1,Justin Holiday,justin-holiday-1
Career,Washington,,123,56,2414,6.9,15.3,0.443,5.1,10.2,0.485,1.8,5.1,0.343,2.4,3.1,0.736,10.6,4.3,2.4,1.5,2.6,4.1,18,115.8,97.2,Justin Holiday,justin-holiday-1
2014-15,UNC,ACC,38,37,1014,9,18.8,0.477,7.4,13.5,0.544,1.6,5.2,0.304,3.8,5.3,0.71,7.9,5,1.1,1.1,3,3.1,23.3,116.4,104.6,Justin Jackson,justin-jackson-4
2015-16,UNC,ACC,40,38,1135,10.1,21.5,0.472,8.3,15.2,0.543,1.9,6.2,0.298,3.4,5.1,0.667,7.8,5.6,1.3,0.9,2.2,3.5,25.5,120.7,106,Justin Jackson,justin-jackson-4
2016-17,UNC,ACC,40,39,1281,11.4,25.6,0.443,6.8,13.4,0.51,4.5,12.2,0.37,4.2,5.6,0.748,8,4.9,1.3,0.4,3,2.4,31.4,121.2,102.4,Justin Jackson,justin-jackson-4
Career,UNC,,118,114,3430,10.3,22.3,0.46,7.5,14,0.531,2.8,8.2,0.34,3.8,5.4,0.712,7.9,5.1,1.3,0.7,2.7,2.9,27.1,119.8,104.2,Justin Jackson,justin-jackson-4
2016-17,Creighton,Big East,35,34,885,12.4,18.4,0.676,11.9,17.4,0.683,0.5,0.9,0.533,2.8,5.4,0.517,13.5,2.5,1.9,3.1,3.7,6,28.1,119.8,96.1,Justin Patton,justin-patton-1
Career,Creighton,,35,34,885,12.4,18.4,0.676,11.9,17.4,0.683,0.5,0.9,0.533,2.8,5.4,0.517,13.5,2.5,1.9,3.1,3.7,6,28.1,119.8,96.1,Justin Patton,justin-patton-1
2014-15,Duke,ACC,39,39,1135,9.2,19,0.486,6.8,13.1,0.516,2.5,5.9,0.418,5.3,8.3,0.641,13.5,4.4,2.8,1.8,3.8,5.8,26.3,115.2,92.8,Justise Winslow,justise-winslow-1
Career,Duke,,39,39,1135,9.2,19,0.486,6.8,13.1,0.516,2.5,5.9,0.418,5.3,8.3,0.641,13.5,4.4,2.8,1.8,3.8,5.8,26.3,115.2,92.8,Justise Winslow,justise-winslow-1
2011-12,Clemson,ACC,30,1,304,9.1,20.2,0.454,7.7,15,0.514,1.5,5.2,0.28,4.6,7.9,0.579,11.4,1.5,2.1,4.2,2.7,5.4,24.3,108.7,96.9,K.J. McDaniels,kj-mcdaniels-1
2012-13,Clemson,ACC,28,25,771,9.1,21,0.433,6.4,13,0.494,2.7,8,0.333,4.5,6.6,0.684,11.7,1.8,2.7,4.8,3.7,5.2,25.3,104.7,94.1,K.J. McDaniels,kj-mcdaniels-1
2013-14,Clemson,ACC,36,35,1212,11.5,25.1,0.459,9.2,17.5,0.527,2.3,7.6,0.304,8.5,10.1,0.842,14.1,3.1,2.3,5.5,4.6,4.4,33.9,114.4,90.8,K.J. McDaniels,kj-mcdaniels-1
Career,Clemson,,94,61,2287,10.4,23,0.45,8,15.6,0.516,2.3,7.4,0.313,6.6,8.6,0.767,12.9,2.4,2.4,5.1,4,4.8,29.6,110.7,92.8,K.J. McDaniels,kj-mcdaniels-1
2015-16,Arizona,Pac-12,34,28,848,6.8,14.5,0.465,5.5,11.1,0.497,1.2,3.4,0.36,4.5,6.4,0.705,7.2,8.2,2.4,1.8,4.6,5.5,19.3,107.6,96.2,Kadeem Allen,kadeem-allen-1
2016-17,Arizona,Pac-12,34,33,1020,6.2,13.8,0.453,4.4,9.4,0.466,1.9,4.4,0.427,5,6.8,0.741,8,5.9,3.1,1.2,3.8,4.8,19.4,111.3,96.3,Kadeem Allen,kadeem-allen-1
Career,Arizona,,68,61,1868,6.5,14.1,0.459,4.9,10.2,0.482,1.6,3.9,0.4,4.8,6.6,0.725,7.6,6.9,2.8,1.5,4.2,5.2,19.3,109.5,96.3,Kadeem Allen,kadeem-allen-1
2007-08,Michigan State,Big Ten,36,17,902,,,0.431,,,0.445,,,0.364,,,0.768,,,,,,,,,,Kalin Lucas,kalin-lucas-1
2008-09,Michigan State,Big Ten,38,37,1213,,,0.395,,,0.396,,,0.39,,,0.808,,,,,,,,,,Kalin Lucas,kalin-lucas-1
