SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2013-14,Providence,Big East,35,35,1398,10.1,24.2,0.419,6.7,15,0.451,3.4,9.3,0.367,10,11.7,0.853,5.5,9,1.5,0.1,3.7,2.2,33.7,122.6,109.4,Bryce Cotton,bryce-cotton-1
Career,Providence,,130,99,4314,8.6,20.3,0.421,4.8,10,0.482,3.7,10.3,0.361,6.8,8.1,0.838,5.2,5.4,1.7,0.2,2.7,2.2,27.7,122.3,108.6,Bryce Cotton,bryce-cotton-1
2010-11,USC,Pac-10,18,10,370,7.9,20.8,0.379,4.5,11.1,0.409,3.4,9.7,0.345,3.9,6.1,0.639,7.9,4.7,3.4,0.2,5,5.9,23,94,97,Bryce Dejean-Jones,bryce-jones-1
2012-13,UNLV,MWC,35,28,910,8.2,19.9,0.413,5.5,12.2,0.455,2.7,7.7,0.347,3.8,5.2,0.728,9.9,5.2,2.1,0.6,5.2,6,22.9,97.8,94.1,Bryce Dejean-Jones,bryce-jones-1
2013-14,UNLV,MWC,31,26,848,10.4,24.3,0.427,8.2,17.4,0.467,2.2,6.8,0.323,7,10.9,0.643,8.1,6.5,1.6,0.6,3.7,4.5,29.9,108.6,101.4,Bryce Dejean-Jones,bryce-jones-1
2014-15,Iowa State,Big 12,33,21,760,9,18.8,0.476,6.9,12.7,0.548,2,6.2,0.329,6.3,8.7,0.722,11.7,5.3,2.6,0.8,3.7,4.3,26.2,114.3,97.7,Bryce Dejean-Jones,bryce-jones-1
Career,Overall,,117,85,2888,9,21,0.429,6.6,13.7,0.478,2.4,7.3,0.336,5.4,7.9,0.684,9.6,5.6,2.2,0.6,4.3,5.1,25.8,105.1,97.6,Bryce Dejean-Jones,bryce-jones-1
2012-13,Cleveland State,Horizon,32,18,904,9.2,21.2,0.433,5.1,10.6,0.478,4.1,10.6,0.389,5,6.2,0.804,7.5,2.6,1.7,0.1,3.6,3.9,27.5,110.5,110.5,Bryn Forbes,bryn-forbes-1
2013-14,Cleveland State,Horizon,32,32,1102,8.6,19.9,0.434,4.1,9.2,0.445,4.5,10.7,0.424,6.1,7.4,0.826,5.6,3,1.4,0.1,2.8,2.8,28,120.7,106.8,Bryn Forbes,bryn-forbes-1
2014-15,Michigan State,Big Ten,39,24,1022,6.8,15.3,0.447,2.5,5.1,0.488,4.3,10.2,0.427,2.6,3.2,0.808,3.5,2.4,1.4,0.3,1.9,3.8,20.6,119.8,104.9,Bryn Forbes,bryn-forbes-1
