"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c"
"evansma01",2010,31,7,"ATL","NBA","SF",79,1317,0.6,-6.7,0,0.21,0.77,0.02,0,0,276.57,1014.09,26.34,0
"evansma01",2011,32,8,"TOT","NBA","SF",73,1549,-7.8,-4,0,0.21,0.76,0.04,0,0,325.29,1177.24,61.96,0
"evansma01",2011,32,8,"ATL","NBA","SF",47,837,-4.3,-4.3,0,0.3,0.66,0.04,0,0,251.1,552.42,33.48,0
"evansma01",2011,32,8,"WAS","NBA","SF",26,712,-11.9,-4.6,0,0.09,0.88,0.03,0,0,64.08,626.56,21.36,0
"evansma01",2012,33,9,"WAS","NBA","SF",24,343,2.1,9.1,0,0.18,0.8,0.02,0,0,61.74,274.4,6.86,0
"tayloma01",2001,24,1,"HOU","NBA","SF",69,1972,-3,-11,0,0,0.06,0.92,0.02,0,0,118.32,1814.24,39.44
"tayloma01",2003,26,2,"HOU","NBA","PF",67,1377,0,-2.4,0,0,0,0.89,0.11,0,0,0,1225.53,151.47
"tayloma01",2004,27,3,"HOU","NBA","PF",75,2081,-1.4,-6.9,0,0,0,0.78,0.22,0,0,0,1623.18,457.82
"tayloma01",2005,28,4,"TOT","NBA","PF-C",65,1336,-0.7,-1.9,0,0,0,0.58,0.42,0,0,0,774.88,561.12
"tayloma01",2005,28,4,"HOU","NBA","PF",38,905,-0.1,-6.4,0,0,0,0.86,0.14,0,0,0,778.3,126.7
"tayloma01",2005,28,4,"NYK","NBA","C",27,431,-1.8,1.2,0,0,0,0.01,0.99,0,0,0,4.31,426.69
"tayloma01",2006,29,5,"NYK","NBA","PF",67,1210,-6.2,1.1,0,0,0,0.85,0.15,0,0,0,1028.5,181.5
"tayloma01",2007,30,6,"SAC","NBA","PF",12,103,16.4,18.7,0,0,0,0.45,0.55,0,0,0,46.35,56.65
"okurme01",2003,23,1,"DET","NBA","PF",72,1366,5.1,1.4,0,0,0,0.45,0.55,0,0,0,614.7,751.3
"okurme01",2004,24,2,"DET","NBA","PF",71,1580,8.5,3.3,0,0,0,0.79,0.21,0,0,0,1248.2,331.8
"okurme01",2005,25,3,"UTA","NBA","C",82,2304,-5,0.3,0,0,0,0.27,0.73,0,0,0,622.08,1681.92
"okurme01",2006,26,4,"UTA","NBA","PF",82,2945,-2.4,3.2,0,0,0,0.62,0.39,0,0,0,1825.9,1148.55
"okurme01",2007,27,5,"UTA","NBA","C",80,2664,1.1,-6.7,0,0,0,0.07,0.93,0,0,0,186.48,2477.52
"okurme01",2008,28,6,"UTA","NBA","C",72,2390,7.6,0.4,0,0,0,0.01,1,0,0,0,23.9,2390
