SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
Career,Pitt,,134,68,3153,21.3,0.534,0.478,0.239,0.529,901,5.9,14,9.6,27.8,2.7,1,20.1,20.9,6.8,6.5,13.3,0.169,6.1,5.2,11.3,Brad Wanamaker,brad-wanamaker-1
2011-12,Florida,SEC,37,37,1267,22,0.575,0.525,0.473,0.44,522,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23,3.6,2.1,5.7,0.18,5.3,3.3,8.6,Bradley Beal,bradley-beal-1
Career,Florida,,37,37,1267,22,0.575,0.525,0.473,0.44,522,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23,3.6,2.1,5.7,0.18,5.3,3.3,8.6,Bradley Beal,bradley-beal-1
2006-07,UNC,ACC,37,37,1013,,0.637,0.646,0,0.445,,,,,,,,12.1,,3.7,4,7.6,0.301,,,,Brandan Wright,brandan-wright-1
Career,UNC,,37,37,1013,,0.637,0.646,0,0.445,,,,,,,,12.1,,3.7,4,7.6,0.301,,,,Brandan Wright,brandan-wright-1
2011-12,Michigan State,Big Ten,31,31,640,23.3,0.584,0.577,0.016,0.365,250,13.3,13.5,13.4,9.5,2.8,4.8,16.2,21.5,1.6,1.4,3,0.188,4,5.8,9.8,Branden Dawson,branden-dawson-1
2012-13,Michigan State,Big Ten,36,35,969,19.4,0.535,0.531,0.019,0.305,318,9.9,17.1,13.5,10.3,3.6,3.8,19.6,20.2,1.2,2.3,3.5,0.145,2.1,6.8,8.8,Branden Dawson,branden-dawson-1
2013-14,Michigan State,Big Ten,28,24,792,25.5,0.622,0.613,0.005,0.288,312,13,21.3,17.3,11.7,2.7,3.7,12.5,19,2.4,1.7,4.1,0.209,5.4,5.7,11.1,Branden Dawson,branden-dawson-1
2014-15,Michigan State,Big Ten,35,32,1055,23.8,0.533,0.535,0,0.306,408,11.9,23.5,17.9,12.2,2.5,6.3,14.7,23.4,2,2.5,4.4,0.168,2.2,7.3,9.5,Branden Dawson,branden-dawson-1
Career,Michigan State,,130,122,3456,22.9,0.562,0.559,0.009,0.313,1288,11.8,19.3,15.7,11.1,2.9,4.7,15.8,21.2,7.2,7.9,15.1,0.175,3.2,6.5,9.7,Branden Dawson,branden-dawson-1
1999-00,Pitt,Big East,28,,937,,0.48,0.462,0.377,0.368,,,,,,,,,,0.5,1.8,2.3,0.098,,,,Brandin Knight,brandin-knight-1
2000-01,Pitt,Big East,31,26,999,,0.492,0.457,0.545,0.489,,,,,,,,24.7,,0.6,2,2.6,0.105,,,,Brandin Knight,brandin-knight-1
2001-02,Pitt,Big East,35,35,1284,,0.521,0.53,0.575,0.324,,,,,,,,17.6,,2,4,6,0.187,,,,Brandin Knight,brandin-knight-1
2002-03,Pitt,Big East,33,33,1087,,0.476,0.453,0.557,0.361,,,,,,,,20.6,,0.4,2.9,3.3,0.121,,,,Brandin Knight,brandin-knight-1
Career,Pitt,,127,94,4307,,0.496,0.484,0.53,0.373,,,,,,,,20.4,,3.5,10.7,14.2,0.132,,,,Brandin Knight,brandin-knight-1
2003-04,LSU,SEC,29,29,1013,,0.588,0.515,0.079,0.654,,,,,,,,14.9,,2.4,2.2,4.6,0.18,,,,Brandon Bass,brandon-bass-1
2004-05,LSU,SEC,30,29,1007,,0.637,0.586,0.082,0.589,,,,16.1,5.5,,3.3,11.7,23.2,3.8,1.7,5.5,0.217,,,,Brandon Bass,brandon-bass-1
Career,LSU,,59,58,2020,,0.616,0.555,0.081,0.617,,,,16.1,5.5,,3.3,13.1,23.2,6.2,3.9,10,0.198,,,,Brandon Bass,brandon-bass-1
2009-10,BYU,MWC,35,1,474,13.1,0.554,0.539,0.008,0.688,176,7.8,16.9,12.7,3.4,1.5,3.1,21.7,22.7,0.3,1,1.3,0.112,,,,Brandon Davies,brandon-davies-1
2010-11,BYU,MWC,29,26,721,21.9,0.568,0.525,0,0.63,327,9.7,17.3,13.6,11.4,1.6,3.7,13.4,22.1,2.1,1.4,3.5,0.192,2,3.6,5.6,Brandon Davies,brandon-davies-1
2011-12,BYU,WCC,35,35,1002,23.3,0.554,0.517,0.008,0.553,515,8.9,22.3,15.4,14.5,2.8,5.1,17.2,27.6,2.1,2.5,4.6,0.182,0.4,5.1,5.4,Brandon Davies,brandon-davies-1
2012-13,BYU,WCC,36,36,1054,27.5,0.569,0.527,0.032,0.581,603,7.7,24,15.5,17.5,2.6,3.6,14.1,29.8,3.5,2,5.5,0.208,3.3,4,7.3,Brandon Davies,brandon-davies-1
Career,BYU,,135,98,3251,22.9,0.562,0.525,0.015,0.593,1621,8.5,21,14.6,13.2,2.3,4,15.9,26.4,8,6.8,14.8,0.183,1.9,4.3,6.2,Brandon Davies,brandon-davies-1
2013-14,UCF,AAC,28,9,412,9.8,0.481,0.429,0.286,0.778,103,3.7,10.8,7.1,20.6,1.9,0.2,25.8,13.7,0.2,0.3,0.5,0.048,-1.6,-0.4,-1.9,Brandon Goodwin,brandon-goodwin-1
2014-15,UCF,AAC,30,30,1013,14.1,0.503,0.472,0.263,0.494,348,4.3,9.1,6.8,26.9,2.3,0.4,22.4,20.9,0.9,0.4,1.3,0.051,0.4,-1.1,-0.7,Brandon Goodwin,brandon-goodwin-1
2016-17,Florida Gulf Coast,A-Sun,34,34,1073,26.7,0.617,0.576,0.364,0.402,610,3.2,13,8.4,24.4,2.2,0.2,12.4,27,4.6,1.7,6.3,0.234,6.2,-0.4,5.8,Brandon Goodwin,brandon-goodwin-1
2017-18,Florida Gulf Coast,A-Sun,34,33,1135,22.5,0.559,0.515,0.323,0.405,652,4,13.9,9.3,26,2.2,0.4,15,28,3.3,1.9,5.2,0.184,2.6,0.1,2.7,Brandon Goodwin,brandon-goodwin-1
Career,Overall,,126,106,3633,19.9,0.563,0.523,0.323,0.441,1713,3.8,12,8.1,25.2,2.2,0.3,16.5,24.1,8.9,4.3,13.3,0.146,2.6,-0.4,2.2,Brandon Goodwin,brandon-goodwin-1
1999-00,Ohio,MAC,33,,905,,0.526,0.514,0.007,0.476,,,,,,,,20.4,,1.3,1.3,2.6,0.115,,,,Brandon Hunter,brandon-hunter-1
2000-01,Ohio,MAC,30,30,988,,0.561,0.514,0.025,0.763,,,,,,,,19.5,,2.6,1.5,4.1,0.166,,,,Brandon Hunter,brandon-hunter-1
2001-02,Ohio,MAC,26,26,842,,0.55,0.528,0.206,0.551,,,,16.8,14.8,,2.2,17.3,29.4,1.9,1.1,3,0.143,,,,Brandon Hunter,brandon-hunter-1
2002-03,Ohio,MAC,30,30,1146,,0.561,0.536,0.089,0.807,,,,,,,,15.8,,3,0.7,3.7,0.129,,,,Brandon Hunter,brandon-hunter-1
Career,Ohio,,119,86,3881,,0.552,0.524,0.083,0.666,,,,16.8,14.8,,2.2,18.1,29.4,8.8,4.6,13.4,0.138,,,,Brandon Hunter,brandon-hunter-1
2015-16,Duke,ACC,36,34,1246,22.5,0.552,0.525,0.403,0.351,591,6,15.5,10.8,11.4,1.9,3.6,11.3,25.6,3.4,1.5,4.9,0.157,4.6,2.9,7.5,Brandon Ingram,brandon-ingram-1
Career,Duke,,36,34,1246,22.5,0.552,0.525,0.403,0.351,591,6,15.5,10.8,11.4,1.9,3.6,11.3,25.6,3.4,1.5,4.9,0.157,4.6,2.9,7.5,Brandon Ingram,brandon-ingram-1
2010-11,Kentucky,SEC,38,38,1363,19.3,0.553,0.508,0.45,0.333,652,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,3.6,1.8,5.3,0.157,5.4,0.5,5.9,Brandon Knight,brandon-knight-1
Career,Kentucky,,38,38,1363,19.3,0.553,0.508,0.45,0.333,652,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27,3.6,1.8,5.3,0.157,5.4,0.5,5.9,Brandon Knight,brandon-knight-1
2009-10,Illinois,Big Ten,36,14,682,13.8,0.435,0.398,0.462,0.323,278,7.3,10.8,9.1,13,2.5,0.8,12.5,27.7,0.4,1,1.3,0.078,,,,Brandon Paul,brandon-paul-1
2010-11,Illinois,Big Ten,34,10,760,17.2,0.531,0.486,0.48,0.347,301,3.7,12.4,8.3,18.1,2.9,1.7,17.4,24.2,1.2,1.2,2.4,0.125,3.3,3.2,6.4,Brandon Paul,brandon-paul-1
2011-12,Illinois,Big Ten,32,29,1070,17.8,0.519,0.465,0.438,0.465,461,3.5,15.8,9.4,19.2,2.7,2.9,19.4,28,1.3,1.7,3,0.111,2.3,3.5,5.8,Brandon Paul,brandon-paul-1
2012-13,Illinois,Big Ten,36,34,1153,21.8,0.537,0.486,0.523,0.449,569,2.1,15.9,8.4,19.6,2.3,2.3,14.7,29.2,3.1,1.5,4.6,0.158,5.8,1.9,7.6,Brandon Paul,brandon-paul-1
Career,Illinois,,138,87,3665,18.2,0.511,0.462,0.479,0.409,1609,3.8,14.2,8.8,17.9,2.6,2.1,16.2,27.5,5.9,5.3,11.2,0.123,3.9,2.8,6.7,Brandon Paul,brandon-paul-1
2002-03,Washington,Pac-10,13,2,224,,0.509,0.508,0.167,0.617,,,,9.6,11.2,,0.9,18.8,20,0.2,0.3,0.5,0.081,,,,Brandon Roy,brandon-roy-1
2003-04,Washington,Pac-10,31,31,938,,0.549,0.49,0.09,0.45,,,,9.9,19.5,,0.8,18.7,21.7,1.6,1.1,2.6,0.112,,,,Brandon Roy,brandon-roy-1
2004-05,Washington,Pac-10,26,5,629,,0.609,0.58,0.086,0.366,,,,11.7,16.1,,1,12.8,22.3,2,1.2,3.2,0.204,,,,Brandon Roy,brandon-roy-1
2005-06,Washington,Pac-10,33,33,1046,,0.606,0.551,0.216,0.47,,,,10.5,25.1,,1.8,12,27.5,4.1,2.9,7,0.269,,,,Brandon Roy,brandon-roy-1
Career,Washington,,103,71,2837,,0.585,0.537,0.148,0.45,,,,10.5,20.1,,1.2,14.7,23.8,7.8,5.5,13.3,0.188,,,,Brandon Roy,brandon-roy-1
2005-06,Kansas,Big 12,33,33,1047,,0.565,0.543,0.295,0.198,,,,10.1,11.8,,1.5,17.4,21.8,2.3,2.5,4.8,0.182,,,,Brandon Rush,brandon-rush-1
2006-07,Kansas,Big 12,38,38,1234,,0.554,0.532,0.414,0.276,,,,9.6,10.8,,2,14.1,21.7,2.3,2.8,5,0.163,,,,Brandon Rush,brandon-rush-1
2007-08,Kansas,Big 12,38,30,1127,,0.557,0.531,0.461,0.208,,,,,,,,13.2,,2.3,2.8,5.1,0.18,,,,Brandon Rush,brandon-rush-1
Career,Kansas,,109,101,3408,,0.558,0.535,0.395,0.229,,,,9.8,11.3,,1.8,14.8,21.8,6.8,8.1,14.9,0.174,,,,Brandon Rush,brandon-rush-1
2015-16,LSU,SEC,27,5,357,9,0.439,0.404,0.615,0.248,106,3,6.7,4.8,10.4,1.8,0.9,12.2,18.5,0.1,0.3,0.3,0.035,-0.6,-1.2,-1.7,Brandon Sampson,brandon-sampson-1
2016-17,LSU,SEC,31,26,853,15,0.593,0.551,0.451,0.392,326,2.3,10.2,6.2,9,1.2,1.7,17.2,20.2,1.4,0,1.4,0.065,3.1,-1.3,1.8,Brandon Sampson,brandon-sampson-1
2017-18,LSU,SEC,27,9,510,16.8,0.597,0.571,0.544,0.388,191,4.3,11.8,8.2,7.8,2.4,0.5,13.4,20,1.1,0.4,1.5,0.115,3.8,-0.2,3.5,Brandon Sampson,brandon-sampson-1
Career,LSU,,85,40,1720,14.3,0.563,0.525,0.513,0.36,623,3,10,6.5,8.9,1.7,1.2,15.2,19.8,2.5,0.7,3.2,0.073,2.5,-0.9,1.6,Brandon Sampson,brandon-sampson-1
1997-98,UNC,ACC,38,,,,0.573,0.53,0,0.955,,,,,,,,,,0.6,1.4,1.9,,,,,Brendan Haywood,brendan-haywood-1
1998-99,UNC,ACC,34,,1035,,0.66,0.648,0,0.53,,,,,,,,17.6,,3.6,2.2,5.8,0.223,,,,Brendan Haywood,brendan-haywood-1
1999-00,UNC,ACC,36,,1071,,0.68,0.697,0,0.653,,,,,,,,15.9,,4.3,2,6.2,0.233,,,,Brendan Haywood,brendan-haywood-1
2000-01,UNC,ACC,33,33,901,,0.58,0.592,0,0.702,,,,,,,,15.9,,2.1,3.3,5.4,0.238,,,,Brendan Haywood,brendan-haywood-1
Career,UNC,,141,33,3007,,0.634,0.637,0,0.656,,,,,,,,16.4,,10.6,8.8,19.3,0.231,,,,Brendan Haywood,brendan-haywood-1
1991-92,Oregon State,Pac-10,31,13,545,,0.531,0.511,0.566,0.243,,,,,,,,26.3,,,,,,,,,Brent Barry,brent-barry-1
1992-93,Oregon State,Pac-10,23,,607,,0.528,0.466,0.478,0.351,,,,,,,,32.7,,,,,,,,,Brent Barry,brent-barry-1
1993-94,Oregon State,Pac-10,27,,959,,0.601,0.564,0.36,0.388,,,,,,,,21.4,,,,,,,,,Brent Barry,brent-barry-1
1994-95,Oregon State,Pac-10,27,,1012,,0.644,0.588,0.375,0.528,,,,,,,,16.3,,,,,,,,,Brent Barry,brent-barry-1
Career,Oregon State,,108,13,3123,,0.598,0.551,0.414,0.415,,,,,,,,22.1,,,,,,,,,Brent Barry,brent-barry-1
1993-94,Stanford,Pac-10,28,,916,,0.473,0.376,0.217,0.63,,,,,,,,23.4,,,,,,,,,Brevin Knight,brevin-knight-1
1994-95,Stanford,Pac-10,28,,912,,0.555,0.484,0.159,0.636,,,,,,,,18.5,,,,,,,,,Brevin Knight,brevin-knight-1
1995-96,Stanford,Pac-10,29,,915,,0.551,0.461,0.189,0.551,,,,,,,,20.5,,2.3,2.3,4.6,0.2,,,,Brevin Knight,brevin-knight-1
1996-97,Stanford,Pac-10,30,,960,,0.561,0.474,0.323,0.584,,,,,,,,19.1,,2.6,2.6,5.2,0.216,,,,Brevin Knight,brevin-knight-1
Career,Stanford,,115,,3703,,0.539,0.453,0.224,0.598,,,,,,,,20.3,,4.9,4.9,9.8,0.105,,,,Brevin Knight,brevin-knight-1
1996-97,Purdue,Big Ten,30,30,865,,0.558,0.502,0.286,0.632,,,,,,,,18.1,,1.6,1.3,3,0.136,,,,Brian Cardinal,brian-cardinal-1
1997-98,Purdue,Big Ten,36,32,925,,0.62,0.564,0.255,0.564,,,,,,,,12.5,,2.8,1.7,4.5,0.195,,,,Brian Cardinal,brian-cardinal-1
1998-99,Purdue,Big Ten,34,34,960,,0.613,0.555,0.402,0.598,,,,,,,,17.3,,2.9,2.2,5.1,0.213,,,,Brian Cardinal,brian-cardinal-1
1999-00,Purdue,Big Ten,32,29,943,,0.54,0.474,0.372,0.508,,,,,,,,15.2,,1.9,2.5,4.4,0.187,,,,Brian Cardinal,brian-cardinal-1
Career,Purdue,,132,125,3693,,0.581,0.521,0.331,0.568,,,,,,,,15.6,,9.4,7.6,17,0.184,,,,Brian Cardinal,brian-cardinal-1
1999-00,Illinois,Big Ten,32,,595,,0.568,0.554,0.178,0.39,,,,,,,,13.7,,1.5,2.3,3.8,0.255,,,,Brian Cook,brian-cook-1
2000-01,Illinois,Big Ten,35,35,846,,0.631,0.599,0.283,0.32,,,,,,,,17.6,,2.8,3,5.8,0.275,,,,Brian Cook,brian-cook-1
2001-02,Illinois,Big Ten,35,34,1008,,0.597,0.548,0.216,0.322,,,,,,,,16.3,,2.9,2.3,5.2,0.207,,,,Brian Cook,brian-cook-1
2002-03,Illinois,Big Ten,30,30,940,,0.577,0.511,0.211,0.486,,,,14.2,14,,1,13.8,32.8,3.3,2.3,5.6,0.24,,,,Brian Cook,brian-cook-1
Career,Illinois,,132,99,3389,,0.592,0.547,0.222,0.388,,,,14.2,14,,1,15.3,32.8,10.6,9.9,20.5,0.241,,,,Brian Cook,brian-cook-1
1990-91,Xavier,MW Coll,32,,932,,0.608,0.572,0,0.61,,,,,,,,20.2,,,,,,,,,Brian Grant,brian-grant-1
1991-92,Xavier,MW Coll,26,,729,,0.585,0.576,0,0.626,,,,,,,,20,,,,,,,,,Brian Grant,brian-grant-1
1992-93,Xavier,MW Coll,30,,944,,0.667,0.654,0,0.466,,,,,,,,12.6,,,,,,,,,Brian Grant,brian-grant-1
1993-94,Xavier,MW Coll,29,,894,,0.598,0.56,0.009,0.528,,,,,,,,14.2,,,,,,,,,Brian Grant,brian-grant-1
Career,Xavier,,117,,3499,,0.619,0.595,0.003,0.544,,,,,,,,16.3,,,,,,,,,Brian Grant,brian-grant-1
2004-05,Dayton,A-10,29,1,586,,0.589,0.558,0.5,0.28,,,,,,,,14.7,,1.8,0.7,2.5,0.173,,,,Brian Roberts,brian-roberts-1
2005-06,Dayton,A-10,31,29,1034,,0.532,0.499,0.396,0.232,,,,6.2,25.8,,0.2,13.9,27.9,2,1.2,3.2,0.123,,,,Brian Roberts,brian-roberts-1
2006-07,Dayton,A-10,31,30,1103,,0.628,0.57,0.464,0.383,,,,5,17.4,,0.5,13.6,25.3,4.4,1,5.3,0.193,,,,Brian Roberts,brian-roberts-1
2007-08,Dayton,A-10,34,34,1179,,0.629,0.59,0.503,0.295,,,,5.2,23.9,,0.3,15.9,27.3,4.9,1,5.8,0.198,,,,Brian Roberts,brian-roberts-1
Career,Dayton,,125,94,3902,,0.596,0.554,0.461,0.298,,,,5.4,22.3,,0.3,14.5,26.8,13,3.9,16.9,0.173,,,,Brian Roberts,brian-roberts-1
1998-99,USC,Pac-10,28,,869,,0.587,0.533,0.021,0.455,,,,,,,,22,,2.4,1.5,3.9,0.179,,,,Brian Scalabrine,brian-scalabrine-1
1999-00,USC,Pac-10,30,,1052,,0.593,0.564,0.162,0.377,,,,,,,,19.6,,3.2,1.6,4.8,0.184,,,,Brian Scalabrine,brian-scalabrine-1
2000-01,USC,Pac-10,34,33,1116,,0.566,0.506,0.182,0.459,,,,,,,,19.1,,2.4,1.9,4.3,0.153,,,,Brian Scalabrine,brian-scalabrine-1
Career,USC,,92,33,3037,,0.582,0.535,0.13,0.427,,,,,,,,20.1,,8,5,13,0.171,,,,Brian Scalabrine,brian-scalabrine-1
1994-95,Baylor,SWC,18,17,501,,0.564,0.598,0,0.579,,,,,,,,17.1,,,,,,,,,Brian Skinner,brian-skinner-1
1995-96,Baylor,SWC,27,27,900,,0.611,0.601,0,0.524,,,,,,,,17.6,,3.1,2.7,5.7,0.254,,,,Brian Skinner,brian-skinner-1
1996-97,Baylor,Big 12,30,30,973,,0.562,0.562,0,0.493,,,,,,,,14.3,,2.5,3.7,6.2,0.256,,,,Brian Skinner,brian-skinner-1
1997-98,Baylor,Big 12,28,,,,0.569,0.553,0,0.599,,,,,,,,,,2.6,2.8,5.4,,,,,Brian Skinner,brian-skinner-1
Career,Baylor,,103,74,2374,,0.577,0.575,0,0.545,,,,,,,,16.1,,8.2,9.2,17.4,0.201,,,,Brian Skinner,brian-skinner-1
2011-12,VCU,CAA,36,4,675,18,0.505,0.445,0.248,0.441,192,4.4,15.9,9.6,17.9,7,1.4,20.8,17,0.6,2,2.6,0.157,0.8,6.6,7.4,Briante Weber,briante-weber-1
2012-13,VCU,A-10,36,7,751,20.1,0.511,0.45,0.252,0.409,231,4,13.4,8.2,21.5,7.6,1.4,17.8,15,1.4,2,3.5,0.184,3.7,7.8,11.5,Briante Weber,briante-weber-1
2013-14,VCU,A-10,35,35,1010,20.5,0.532,0.469,0.161,0.457,364,3.4,12.7,7.7,25.1,6.8,0.5,17.4,17.6,1.7,3.1,4.8,0.19,3.2,7.1,10.3,Briante Weber,briante-weber-1
2014-15,VCU,A-10,20,19,529,23.5,0.498,0.445,0.212,0.394,190,2.8,13.7,7.8,31.9,8.9,0.9,17.3,18.9,0.9,1.6,2.5,0.187,4.1,8,12.1,Briante Weber,briante-weber-1
Career,VCU,,127,65,2965,20.4,0.515,0.455,0.21,0.43,977,3.7,13.8,8.3,23.8,7.4,1,18.2,17,4.7,8.7,13.4,0.181,2.9,7.3,10.3,Briante Weber,briante-weber-1
2012-13,UNC,ACC,36,2,380,22.7,0.518,0.511,0,0.148,166,9,26.4,16.9,5.6,2.5,5,9.2,25.6,0.7,0.8,1.5,0.163,-0.3,3.2,2.9,Brice Johnson,brice-johnson-1
2013-14,UNC,ACC,34,2,661,26.7,0.577,0.566,0,0.309,321,12.6,21.7,17.1,9.7,2.2,6.9,11.6,24.7,1.9,1.5,3.4,0.204,3.7,5.6,9.3,Brice Johnson,brice-johnson-1
2014-15,UNC,ACC,38,37,940,25.4,0.585,0.566,0,0.314,436,11,22.7,17.2,7.5,1.6,4.8,12.1,24.5,2.8,1.9,4.7,0.2,4.3,4.3,8.6,Brice Johnson,brice-johnson-1
2015-16,UNC,ACC,40,39,1121,33,0.653,0.617,0,0.417,613,11.7,28.5,20.4,9.7,2.2,5.5,11.8,25,5,2.6,7.6,0.272,7.3,6.2,13.4,Brice Johnson,brice-johnson-1
Career,UNC,,148,80,3102,28.1,0.601,0.577,0,0.328,1536,11.4,25,18.3,8.5,2,5.5,11.3,24.9,10.4,6.8,17.2,0.222,4.7,5.1,9.8,Brice Johnson,brice-johnson-1
1997-98,Utah,WAC,21,,,,0.502,0.491,0.228,0.579,,,,,,,,,,0.2,0.4,0.6,,,,,Britton Johnsen,britton-johnsen-1
2000-01,Utah,MWC,31,25,684,,0.533,0.5,0.214,0.455,,,,,,,,21.4,,1,1.5,2.5,0.147,,,,Britton Johnsen,britton-johnsen-1
2001-02,Utah,MWC,30,30,836,,0.571,0.555,0.33,0.542,,,,,,,,16.8,,2.2,1.5,3.7,0.175,,,,Britton Johnsen,britton-johnsen-1
2002-03,Utah,MWC,27,27,789,,0.517,0.51,0.256,0.372,,,,14.5,16.6,,1.5,17.2,25.7,1,1.8,2.8,0.144,,,,Britton Johnsen,britton-johnsen-1
Career,Utah,,109,82,2309,,0.539,0.521,0.267,0.466,,,,14.5,16.6,,1.5,18.4,25.7,4.4,5.2,9.6,0.156,,,,Britton Johnsen,britton-johnsen-1
2006-07,Stanford,Pac-10,26,18,654,,0.524,0.502,0.053,0.23,,,,13.7,7.6,,4.9,14.7,28.5,1,1.5,2.5,0.153,,,,Brook Lopez,brook-lopez-1
2007-08,Stanford,Pac-10,27,25,831,,0.537,0.468,0.015,0.494,,,,15.3,11.3,,4.9,10.7,33.7,2,3.5,5.4,0.261,,,,Brook Lopez,brook-lopez-1
Career,Stanford,,53,43,1485,,0.532,0.482,0.031,0.384,,,,14.6,9.7,,4.9,12.3,31.4,2.9,5,7.9,0.213,,,,Brook Lopez,brook-lopez-1
1989-90,Cal State Fullerton,Big West,18,0,98,,0.55,0.477,0.227,0.591,,,,,,,,19.9,,,,,,,,,Bruce Bowen,bruce-bowen-1
1990-91,Cal State Fullerton,Big West,28,23,849,,0.469,0.407,0.254,0.508,,,,,,,,17.2,,,,,,,,,Bruce Bowen,bruce-bowen-1
1991-92,Cal State Fullerton,Big West,28,27,969,,0.526,0.463,0.141,0.518,,,,,,,,14.9,,,,,,,,,Bruce Bowen,bruce-bowen-1
1992-93,Cal State Fullerton,Big West,27,,987,,0.533,0.487,0.135,0.632,,,,,,,,,,,,,,,,,Bruce Bowen,bruce-bowen-1
Career,Cal State Fullerton,,101,50,2903,,0.515,0.457,0.171,0.558,,,,,,,,16.1,,,,,,,,,Bruce Bowen,bruce-bowen-1
2016-17,Miami (FL),ACC,33,29,1053,20.3,0.559,0.515,0.325,0.414,411,5.6,15.4,10.5,20.7,2.9,1.9,16.1,20.9,2.4,2,4.4,0.167,4.4,5,9.5,Bruce Brown,bruce-brown-2
2017-18,Miami (FL),ACC,19,19,640,16.9,0.488,0.457,0.319,0.372,242,4.6,20,12.4,21.3,2.3,2.5,16.3,21.2,0.7,1.2,1.9,0.121,1.6,5.1,6.6,Bruce Brown,bruce-brown-2
Career,Miami (FL),,52,48,1693,19,0.532,0.493,0.323,0.398,652,5.2,17.1,11.2,20.9,2.7,2.2,16.2,21,3.2,3.2,6.3,0.15,3.4,5.1,8.4,Bruce Brown,bruce-brown-2
2010-11,Providence,Big East,31,1,473,12.4,0.506,0.453,0.509,0.349,118,3,7.8,5.3,5.5,2.5,0,6.8,13,0.7,0.3,1,0.087,1.4,-0.1,1.3,Bryce Cotton,bryce-cotton-1
2011-12,Providence,Big East,32,32,1234,15.5,0.573,0.523,0.578,0.288,407,1.3,6.5,3.8,12.1,1.6,0.4,11.5,18.5,2.9,0.2,3.2,0.103,4.9,-2.1,2.8,Bryce Cotton,bryce-cotton-1
2012-13,Providence,Big East,32,31,1209,23.2,0.594,0.547,0.603,0.399,552,2.1,9.7,5.6,18.1,1.5,0.3,8.1,24.1,5,1.2,6.2,0.204,9.6,-0.5,9.2,Bryce Cotton,bryce-cotton-1
2013-14,Providence,Big East,35,35,1398,23.9,0.565,0.489,0.383,0.483,759,1.6,8.9,5.3,34.8,1.5,0.2,11.2,28.3,5.5,1.2,6.7,0.191,8.5,-1.4,7.1,Bryce Cotton,bryce-cotton-1
Career,Providence,,130,99,4314,20,0.571,0.512,0.507,0.4,1836,1.8,8.3,5,20.4,1.6,0.3,10,22.7,14.2,2.9,17.1,0.158,7,-1.2,5.8,Bryce Cotton,bryce-cotton-1
2010-11,USC,Pac-10,18,10,370,14.4,0.485,0.46,0.468,0.29,135,3.9,11.4,7.6,16.2,3.4,0.3,17.5,25,0.2,0.6,0.8,0.09,1.2,2.7,3.9,Bryce Dejean-Jones,bryce-jones-1
2012-13,UNLV,MWC,35,28,910,14.5,0.512,0.481,0.388,0.26,347,4.6,14.9,9.7,18.8,2.1,1,18.8,23.4,0.9,1.7,2.6,0.116,1.1,2.6,3.7,Bryce Dejean-Jones,bryce-jones-1
2013-14,UNLV,MWC,31,26,848,19.3,0.508,0.472,0.281,0.45,410,3.6,10.4,7.1,23.9,1.6,1,11.1,27.9,1.8,1.3,3.1,0.147,3.3,0.8,4.1,Bryce Dejean-Jones,bryce-jones-1
2014-15,Iowa State,Big 12,33,21,760,21.9,0.571,0.53,0.328,0.46,348,6.1,16.3,11.5,17.2,2.6,1.3,13.9,23.5,2.1,1.3,3.4,0.177,5.3,3,8.2,Bryce Dejean-Jones,bryce-jones-1
Career,Overall,,117,85,2888,17.8,0.523,0.487,0.347,0.375,1240,4.6,13.5,9.1,19.5,2.2,1,14.9,25,5,5,10,0.138,2.9,2.2,5,Bryce Dejean-Jones,bryce-jones-1
2012-13,Cleveland State,Horizon,32,18,904,17.9,0.569,0.53,0.5,0.293,358,3.2,14.2,8.1,10,1.7,0.1,12.9,23.9,2.1,0.3,2.4,0.108,2.4,-3.6,-1.2,Bryn Forbes,bryn-forbes-1
2013-14,Cleveland State,Horizon,32,32,1102,18,0.596,0.548,0.538,0.372,443,2.7,8.2,5.5,10.1,1.4,0.1,10.7,22.6,3.1,1.2,4.3,0.155,3.7,-2,1.8,Bryn Forbes,bryn-forbes-1
2014-15,Michigan State,Big Ten,39,24,1022,13.5,0.613,0.589,0.667,0.211,273,1,5.4,3.3,7.1,1.4,0.6,10.3,16,2.1,1.1,3.1,0.123,4.8,0.8,5.7,Bryn Forbes,bryn-forbes-1
2015-16,Michigan State,Big Ten,35,34,982,20.3,0.667,0.644,0.679,0.219,395,1.5,6.5,4.2,9.7,0.9,0.1,7.3,21,3.6,1.3,4.9,0.201,9.1,-0.3,8.9,Bryn Forbes,bryn-forbes-1
Career,Overall,,138,108,4010,17.4,0.611,0.578,0.592,0.279,1468,2.1,8.4,5.2,9.2,1.3,0.2,10.3,20.8,10.9,3.9,14.8,0.148,5,-1.2,3.8,Bryn Forbes,bryn-forbes-1
1990-91,Long Beach State,Big West,28,,552,,0.487,0.453,0.145,0.358,,,,,,,,21.5,,,,,,,,,Bryon Russell,bryon-russell-1
