SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
Career,Fresno State,,41,13,982,,0.578,0.523,0.22,0.44,,,,,,,,13.6,,2.4,1.4,3.8,0.154,,,,Renaldo Major,renaldo-major-1
1996-97,UConn,Big East,32,,980,,0.503,0.463,0.412,0.257,,,,,,,,15.8,,1.5,2.3,3.8,0.154,,,,Richard Hamilton,richard-hamilton-1
1997-98,UConn,Big East,37,,,,0.566,0.52,0.399,0.301,,,,,,,,,,4.2,2.4,6.6,,,,,Richard Hamilton,richard-hamilton-1
1998-99,UConn,Big East,34,,1091,,0.56,0.504,0.352,0.366,,,,,,,,11.1,,3.8,2.5,6.4,0.233,,,,Richard Hamilton,richard-hamilton-1
Career,UConn,,103,,2071,,0.547,0.499,0.387,0.311,,,,,,,,13.2,,9.5,7.2,16.8,0.196,,,,Richard Hamilton,richard-hamilton-1
1998-99,Arizona,Pac-10,28,,755,,0.588,0.524,0.157,0.595,,,,,,,,20.2,,1.8,1.1,2.9,0.153,,,,Richard Jefferson,richard-jefferson-1
1999-00,Arizona,Pac-10,21,,495,,0.584,0.554,0.24,0.377,,,,,,,,21.8,,1.4,1.2,2.6,0.206,,,,Richard Jefferson,richard-jefferson-1
2000-01,Arizona,Pac-10,35,34,961,,0.553,0.529,0.293,0.358,,,,,,,,22.5,,1.7,2.6,4.4,0.182,,,,Richard Jefferson,richard-jefferson-1
Career,Arizona,,84,34,2211,,0.572,0.534,0.238,0.436,,,,,,,,21.6,,5,4.8,9.8,0.177,,,,Richard Jefferson,richard-jefferson-1
2012-13,Bowling Green State,MAC,32,2,602,26.4,0.636,0.633,0.014,0.36,198,14.6,18.2,16.3,2.7,1.8,13.4,13.3,16.7,1.7,1.2,2.9,0.191,0.8,5.9,6.7,Richaun Holmes,richaun-holmes-1
