BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,ADVANCED_POSITION_CLUSTER,HEIGHT_PERCENTILE_POSITION,WEIGHT_PERCENTILE_POSITION,AGE_PERCENTILE_POSITION,GAMES_PLAYER_PERCENTILE_POSITION,GAMES_STARTED_PERCENTILE_POSITION,MINUTES_PERCENTILE_POSITION,FG_PERCENTILE_POSITION,FGA_PERCENTILE_POSITION,FG_PERCENT_PERCENTILE_POSITION,THREE_POINT_MADE_PERCENTILE_POSITION,THREE_POINT_ATTEMPT_PERCENTILE_POSITION,THREE_POINT_PERCENT_PERCENTILE_POSITION,TWO_POINT_MADE_PERCENTILE_POSITION,TWO_POINT_ATTEMPT_PERCENTILE_POSITION,TWO_POINT_PERCENT_PERCENTILE_POSITION,EFG_PERCENT_PERCENTILE_POSITION,TRUE_SHOOTING_PERCENT_PERCENTILE_POSITION,FREE_THROW_MADE_PERCENTILE_POSITION,FREE_THROW_ATTEMPT_PERCENTILE_POSITION,FREE_THROW_PERCENT_PERCENTILE_POSITION,OREB_PERCENTILE_POSITION,DRB_PERCENTILE_POSITION,TOTAL_PERCENTILE_POSITION,AST_PERCENTILE_POSITION,STL_PERCENTILE_POSITION,BLK_PERCENTILE_POSITION,TURNOVER_PERCENTILE_POSITION,FOUL_PERCENTILE_POSITION,POINTS_PERCENTILE_POSITION,FG_MADE_PER100_PERCENTILE_POSITION,FG_ATTEMPTED_PER100_PERCENTILE_POSITION,THREE_POINT_MADE_PER100_PERCENTILE_POSITION,THREE_POINT_ATTEMPT_PER100_PERCENTILE_POSITION,TWO_POINT_MADE_PER100_PERCENTILE_POSITION,TWO_POINT_ATTEMPT_PER100_PERCENTILE_POSITION,FREE_THROW_MADE_PER100_PERCENTILE_POSITION,FREE_THROW_ATTEMPT_PER100_PERCENTILE_POSITION,THREE_POINT_ATTEMPT_RATE_PERCENTILE_POSITION,FREE_THROW_RATE_PERCENTILE_POSITION,ORB_PERCENT_PERCENTILE_POSITION,DRB_PERCENT_PERCENTILE_POSITION,TRB_PERCENT_PERCENTILE_POSITION,AST_PERCENT_PERCENTILE_POSITION,STL_PERCENT_PERCENTILE_POSITION,BLK_PERCENT_PERCENTILE_POSITION,TOV_PERCENT_PERCENTILE_POSITION,USG_PERCENT_PERCENTILE_POSITION,OFF_WIN_SHARES_PERCENTILE_POSITION,DEF_WIN_SHARES_PERCENTILE_POSITION,WIN_SHARES_PERCENTILE_POSITION,WIN_SHARRES_PER_48_PERCENTILE_POSITION,OFF_BPM_PERCENTILE_POSITION,DEF_BPM_PERCENTILE_POSITION,BPM_PERCENTILE_POSITION,VORP_PERCENTILE_POSITION
hillge01,2017-2018,0.1,1.09333333333333,,,,,Guard,0.42307692307692296,0.392307692307692,0.853846153846154,0.6461538461538461,0.8384615384615379,0.769230769230767,0.6769230769230761,0.63076923076923,0.7999999999999989,0.753846153846153,0.707692307692307,0.8984375,0.623076923076922,0.599999999999999,0.6640625,0.8692307692307679,0.8615384615384599,0.7153846153846151,0.723076923076922,0.44262295081967207,0.8384615384615379,0.63076923076923,0.6846153846153841,0.5615384615384611,0.676923076923077,0.8769230769230769,0.615384615384615,0.7615384615384599,0.707692307692307,0.307692307692308,0.18461538461538501,0.584615384615385,0.453846153846154,0.33846153846153804,0.238461538461538,0.515384615384615,0.492307692307692,0.5846153846153841,0.692307692307691,0.684615384615385,0.3,0.376923076923077,0.19230769230769199,0.46153846153846206,0.7846153846153849,0.392307692307692,0.16923076923076902,0.792307692307692,0.546153846153846,0.7230769230769231,0.576923076923077,0.653846153846154,0.607692307692308,0.6461538461538461,0.7153846153846151
ibakase01,2017-2018,0.3733333333333329,-0.20666666666666697,,,,,Big,0.217687074829932,0.217687074829932,0.659863945578231,0.836734693877551,0.925170068027211,0.9047619047619058,0.8435374149659871,0.8775510204081641,0.326530612244898,0.9455782312925171,0.9591836734693879,0.7857142857142858,0.775510204081633,0.768707482993198,0.513698630136987,0.517006802721089,0.48299319727891205,0.666666666666667,0.6394557823129261,0.794326241134752,0.537414965986395,0.8299319727891159,0.761904761904763,0.5578231292517011,0.530612244897959,0.9047619047619051,0.72108843537415,0.8843537414965992,0.8435374149659871,0.6394557823129251,0.6870748299319731,0.89795918367347,0.8843537414965992,0.37414965986394505,0.306122448979592,0.217687074829932,0.17006802721088402,0.870748299319728,0.12925170068027197,0.0748299319727891,0.401360544217687,0.156462585034014,0.14285714285714302,0.12925170068027197,0.653061224489796,0.197278911564626,0.5986394557823129,0.72108843537415,0.8775510204081629,0.816326530612245,0.435374149659864,0.5714285714285721,0.45578231292516996,0.48979591836734704,0.6734693877551021
jordade01,2017-2018,1.08,1.9,,,,,Big,0.46258503401360496,0.870748299319728,0.7278911564625851,0.870748299319728,0.938775510204082,0.938775510204082,0.8299319727891159,0.7414965986394559,0.938775510204082,0.0,0.0,0.0,0.8843537414965992,0.8299319727891159,0.897260273972604,0.931972789115647,0.9115646258503409,0.9047619047619051,0.925170068027212,0.156028368794326,0.98639455782313,0.993197278911566,0.993197278911566,0.8027210884353749,0.6870748299319731,0.7959183673469391,0.9047619047619051,0.8707482993197291,0.8027210884353749,0.401360544217687,0.149659863945578,0.0,0.0,0.564625850340136,0.31972789115646305,0.5986394557823129,0.7619047619047621,0.0,0.9115646258503409,0.9047619047619051,0.979591836734695,0.979591836734695,0.35374149659864,0.19047619047619,0.34693877551020397,0.755102040816327,0.224489795918367,0.952380952380953,0.918367346938776,0.945578231292518,0.8435374149659871,0.8299319727891159,0.6258503401360539,0.782312925170068,0.918367346938776
koufoko01,2017-2018,-0.5,-2.6933333333333302,,,,,Big,0.700680272108843,0.47619047619047605,0.659863945578231,0.666666666666667,0.523809523809524,0.61904761904762,0.6462585034013609,0.625850340136055,0.734693877551021,0.0,0.0,0.0,0.7006802721088439,0.6870748299319731,0.6232876712328771,0.666666666666667,0.41496598639455795,0.36734693877551006,0.45578231292516996,0.0354609929078014,0.816326530612245,0.714285714285715,0.755102040816327,0.6734693877551021,0.836734693877552,0.49659863945578203,0.48979591836734704,0.659863945578232,0.5782312925170071,0.517006802721089,0.38095238095238104,0.0,0.0,0.6462585034013609,0.5918367346938779,0.0680272108843537,0.14285714285714302,0.0,0.19047619047619,0.7619047619047621,0.8027210884353749,0.8435374149659871,0.6326530612244899,0.7414965986394559,0.306122448979592,0.272108843537415,0.224489795918367,0.748299319727891,0.5986394557823129,0.6938775510204079,0.54421768707483,0.5714285714285721,0.605442176870748,0.6190476190476191,0.653061224489796
leeco01,2017-2018,-0.8533333333333329,-2.18,,,,,Wing,0.11153846153846199,0.430769230769231,0.896153846153846,0.792307692307692,0.88076923076923,0.8961538461538442,0.8499999999999979,0.819230769230767,0.6887159533073921,0.784615384615384,0.7576923076923059,0.8467741935483859,0.834615384615383,0.8538461538461519,0.47200000000000003,0.6887159533073921,0.7276264591439681,0.803846153846153,0.749999999999999,0.970212765957448,0.6038461538461539,0.696153846153845,0.669230769230768,0.8615384615384599,0.888461538461538,0.6692307692307691,0.7576923076923069,0.6038461538461529,0.819230769230767,0.65,0.592307692307692,0.507692307692308,0.380769230769231,0.6615384615384621,0.665384615384615,0.5807692307692309,0.480769230769231,0.32295719844357895,0.41634241245136105,0.196153846153846,0.19230769230769199,0.15769230769230802,0.707692307692307,0.630769230769231,0.273076923076923,0.30739299610894893,0.530769230769231,0.8846153846153849,0.619230769230769,0.8269230769230759,0.615384615384615,0.834615384615385,0.5038461538461539,0.7576923076923069,0.853846153846154
lopezro01,2017-2018,-2.05333333333333,-1.38,,,,,Big,0.700680272108843,0.9591836734693879,0.7278911564625851,0.5782312925170071,0.8299319727891159,0.768707482993198,0.789115646258504,0.775510204081633,0.530612244897959,0.5782312925170071,0.5714285714285721,0.46428571428571397,0.8639455782312929,0.8639455782312929,0.424657534246575,0.42857142857142894,0.326530612244898,0.564625850340136,0.530612244897959,0.6312056737588659,0.7619047619047621,0.448979591836735,0.523809523809524,0.836734693877552,0.34013605442176903,0.7006802721088439,0.816326530612245,0.496598639455783,0.727891156462586,0.7482993197278921,0.6938775510204088,0.45578231292516996,0.442176870748299,0.816326530612245,0.836734693877552,0.156462585034014,0.108843537414966,0.42857142857142894,0.0816326530612245,0.38095238095238104,0.00680272108843537,0.0136054421768707,0.80952380952381,0.0680272108843537,0.42857142857142894,0.530612244897959,0.6462585034013609,0.47619047619047605,0.34693877551020397,0.442176870748299,0.163265306122449,0.37414965986394605,0.251700680272109,0.299319727891156,0.204081632653061
lopezbr01,2017-2018,0.36,3.61333333333333,,,,,Big,0.700680272108843,0.9319727891156461,0.7278911564625851,0.755102040816327,0.8639455782312929,0.782312925170069,0.8231292517006809,0.8843537414965992,0.244897959183673,0.9659863945578241,0.972789115646259,0.6696428571428571,0.7619047619047621,0.7482993197278921,0.486301369863014,0.448979591836735,0.36734693877551006,0.734693877551021,0.727891156462586,0.439716312056738,0.496598639455783,0.564625850340136,0.5306122448979601,0.8435374149659871,0.54421768707483,0.891156462585035,0.7619047619047621,0.8503401360544219,0.8503401360544219,0.789115646258504,0.8639455782312929,0.9591836734693879,0.9455782312925171,0.510204081632653,0.469387755102041,0.47619047619047605,0.462585034013606,0.89795918367347,0.231292517006803,0.12244897959183698,0.0408163265306122,0.00680272108843537,0.782312925170068,0.19047619047619,0.7619047619047621,0.244897959183673,0.8231292517006809,0.6870748299319731,0.7074829931972791,0.6870748299319731,0.35374149659864,0.8027210884353749,0.36734693877551006,0.6190476190476191,0.7074829931972791
loveke01,2017-2018,2.7,0.32,,,,,Big,0.217687074829932,0.7142857142857142,0.7278911564625851,0.517006802721089,0.802721088435374,0.734693877551021,0.775510204081633,0.836734693877552,0.217687074829932,0.98639455782313,0.9795918367346941,0.9107142857142858,0.6326530612244899,0.7006802721088439,0.171232876712329,0.517006802721089,0.782312925170069,0.925170068027211,0.891156462585035,0.9574468085106391,0.6462585034013609,0.891156462585035,0.8299319727891159,0.755102040816327,0.755102040816327,0.42857142857142894,0.72108843537415,0.537414965986395,0.9047619047619051,0.7482993197278921,0.8435374149659871,0.9795918367346941,0.9659863945578241,0.251700680272109,0.34013605442176903,0.938775510204082,0.8639455782312929,0.931972789115647,0.6462585034013609,0.27891156462585,0.89795918367347,0.768707482993198,0.6394557823129251,0.5374149659863939,0.108843537414966,0.19047619047619,0.8775510204081641,0.931972789115647,0.6326530612244899,0.8775510204081641,0.836734693877552,0.9591836734693879,0.12925170068027197,0.734693877551021,0.789115646258504
mbahalu01,2017-2018,0.613333333333333,-2.1733333333333302,,,,,Wing,0.611538461538462,0.75,0.861538461538462,0.5346153846153839,0.619230769230769,0.630769230769229,0.5807692307692299,0.53076923076923,0.8443579766536949,0.619230769230769,0.607692307692307,0.5645161290322579,0.615384615384615,0.553846153846153,0.932000000000001,0.879377431906613,0.8677042801556399,0.649999999999999,0.6884615384615369,0.280851063829787,0.507692307692308,0.646153846153845,0.626923076923076,0.48846153846153795,0.849999999999999,0.761538461538461,0.6769230769230761,0.573076923076922,0.5846153846153829,0.28076923076923105,0.153846153846154,0.40384615384615397,0.303846153846154,0.373076923076923,0.21153846153846104,0.484615384615385,0.538461538461538,0.661478599221789,0.7859922178988309,0.265384615384615,0.43846153846153796,0.353846153846154,0.17307692307692302,0.8653846153846151,0.6884615384615379,0.8249027237354079,0.196153846153846,0.596153846153846,0.869230769230769,0.707692307692307,0.657692307692307,0.453846153846154,0.9038461538461541,0.7576923076923069,0.757692307692308
mcgeeja01,2017-2018,0.66,-0.746666666666667,,,,,Big,0.700680272108843,0.9319727891156461,0.782312925170068,0.585034013605442,0.5782312925170071,0.37414965986394605,0.48299319727891205,0.4421768707483,0.89795918367347,0.0,0.448979591836735,0.0,0.510204081632653,0.48979591836734704,0.8630136986301379,0.8775510204081641,0.8775510204081641,0.394557823129252,0.360544217687075,0.5602836879432629,0.394557823129252,0.34693877551020397,0.36734693877551006,0.360544217687075,0.442176870748299,0.7278911564625851,0.34693877551020397,0.401360544217687,0.462585034013606,0.8299319727891159,0.612244897959184,0.0,0.46258503401360496,0.8775510204081641,0.768707482993198,0.45578231292516996,0.435374149659864,0.469387755102041,0.31972789115646305,0.7414965986394559,0.272108843537415,0.45578231292516996,0.469387755102041,0.700680272108843,0.9591836734693879,0.23809523809523803,0.5918367346938779,0.6258503401360539,0.45578231292516996,0.517006802721089,0.952380952380953,0.80952380952381,0.748299319727891,0.80952380952381,0.564625850340136
rosede01,2017-2018,-4.9933333333333305,-1.10666666666667,,,,,Guard,0.42307692307692296,0.7230769230769231,0.738461538461539,0.315384615384615,0.46923076923076895,0.32307692307692304,0.38461538461538397,0.369230769230769,0.592307692307692,0.253846153846154,0.29230769230769205,0.1328125,0.446153846153846,0.43076923076922996,0.5234375,0.315384615384615,0.40769230769230796,0.46923076923076895,0.430769230769231,0.7868852459016401,0.392307692307692,0.238461538461538,0.27692307692307694,0.269230769230769,0.223076923076923,0.369230769230769,0.353846153846154,0.223076923076923,0.376923076923077,0.7307692307692311,0.707692307692307,0.138461538461538,0.19230769230769199,0.9384615384615379,0.9384615384615369,0.8,0.7153846153846151,0.0846153846153846,0.599999999999999,0.830769230769231,0.0769230769230769,0.18461538461538501,0.153846153846154,0.1,0.538461538461539,0.523076923076923,0.738461538461538,0.153846153846154,0.14615384615384602,0.0384615384615385,0.14615384615384602,0.16153846153846202,0.1,0.1,0.0692307692307692
speigma01,2017-2018,-0.226666666666667,,,,,,Big,0.217687074829932,0.755102040816327,0.782312925170068,0.40816326530612296,0.360544217687075,0.387755102040817,0.496598639455783,0.564625850340136,0.0816326530612245,0.9115646258503399,0.925170068027211,0.8125,0.272108843537415,0.292517006802721,0.0821917808219178,0.35374149659864,0.26530612244898005,0.421768707482993,0.36734693877551006,0.5460992907801421,0.244897959183673,0.36734693877551006,0.306122448979592,0.40816326530612296,0.251700680272109,0.38095238095238104,0.45578231292516996,0.462585034013606,0.530612244897959,0.775510204081633,0.945578231292518,1.0,0.993197278911565,0.054421768707483,0.12244897959183698,0.435374149659864,0.401360544217687,0.993197278911565,0.13605442176870697,0.0408163265306122,0.23809523809523803,0.0476190476190476,0.6394557823129251,0.115646258503401,0.38775510204081604,0.197278911564626,0.925170068027211,0.17687074829932,0.27891156462585,0.23809523809523803,0.115646258503401,0.782312925170068,0.0680272108843537,0.231292517006803,0.10204081632653099
