BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,SALARY,SALARY_PROP_CAP,AGE,EXPERIENCE,TEAM,POSITION,GAMES_PLAYED,MINUTES_PLAYED,ON_COURT_PLUS_MINUS,OFF_COURT_PLUS_MINUS,PROP_PG,PROP_SG,PROP_SF,PROP_PF,PROP_C,MINUTES_PG,MINUTES_SG,MINUTES_SF,MINUTES_PF,MINUTES_C,POSITION_MINUTES,POSITION_NUMERIC,ADVANCED_POSITION_CLUSTER,ORPM,DRPM,RPM,WINS
butleji01,2017-2018,5.926666666666669,4.12,,,,,19301070.0,0.19477733038660697,28,7,MIN,SG,59,2164,8.6,13.1,0.0,0.79,0.19,0.02,0.0,0.0,1709.56,411.16,43.28,0.0,SG,2.23,Wing,3.61,2.78,6.39,12.8
farieke01,2017-2018,-1.8066666666666698,-0.5133333333333329,,,,,12921348.0,0.13039617329175598,28,7,DEN,PF,32,461,-5.2,-7.3,0.0,0.0,0.14,0.74,0.12,0.0,0.0,64.54,341.14,55.32,PF,3.98,Big,-2.05,0.49,-1.56,0.45
harrito02,2017-2018,1.06666666666667,1.26666666666667,,,,,16000000.0,0.16146448285953602,25,7,TOT,PF,80,2668,-2.4,-3.7,0.0,0.0,0.04,0.94,0.02,0.0,0.0,106.72,2507.92,53.36,PF,3.98,Wing,2.27,-1.02,1.25,7.51
irvinky01,2017-2018,3.66,4.9,,,,,18868625.0,0.19041329861846998,25,7,BOS,PG,60,1931,5.2,3.1,0.69,0.29,0.02,0.0,0.0,1332.39,559.99,38.62,0.0,0.0,PG,1.33,Guard,3.74,-1.35,2.39,6.74
jacksre01,2017-2018,-0.706666666666667,0.0866666666666667,,,,,16000000.0,0.16146448285953602,27,7,DET,PG,45,1201,1.1,2.0,1.0,0.0,0.0,0.0,0.0,1201.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,0.68,-0.99,-0.31,2.13
josepco01,2017-2018,-0.946666666666667,0.4266666666666671,,,,,7630000.0,0.0769983752636412,26,7,IND,PG,82,2210,0.1,-3.5,0.62,0.38,0.0,0.0,0.0,1370.2,839.8,0.0,0.0,0.0,PG,1.38,Guard,-0.16,-0.66,-0.82,3.25
kanteen01,2017-2018,0.74,-0.753333333333333,,,,,20566802.0,0.207550503062779,25,7,NYK,C,71,1830,-5.1,-2.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1830.0,C,5.0,Big,-0.02,-0.12,-0.14,3.52
leonaka01,2017-2018,2.50666666666667,3.8266666666666698,,,,,18868625.0,0.19041329861846998,26,7,SAS,SF,9,210,3.8,0.9,0.0,0.04,0.86,0.09,0.0,0.0,8.4,180.6,18.9,0.0,SF,3.02,Wing,-1.18,1.99,0.81,0.53
leuerjo01,2017-2018,-2.46,-2.59333333333333,,,,,10497319.0,0.105934011484161,28,7,DET,PF,8,136,2.1,2.4,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,91.12,44.88,PF,4.33,Big,-2.46,1.72,-0.74,0.22
liggide01,2017-2018,-2.6933333333333302,,,,,,1538578.0,0.0155266063193162,29,5,TOT,SG,58,724,-11.6,-13.7,0.03,0.37,0.6,0.02,0.0,21.72,267.88,434.4,14.48,0.0,SF,2.65,Wing,-2.59,-0.35,-2.94,0.05
macksh01,2017-2018,-1.3666666666666698,-4.28666666666667,,,,,6000000.0,0.06054918107232599,27,7,ORL,PG,69,1365,-2.8,3.5,0.66,0.34,0.0,0.0,0.0,900.9,464.1,0.0,0.0,0.0,PG,1.34,Guard,0.08,-0.93,-0.85,1.96
mirotni01,2017-2018,2.3,1.1,,,,,12500000.0,0.126144127234012,26,4,TOT,PF,55,1494,4.9,9.5,0.0,0.0,0.0,0.85,0.15,0.0,0.0,0.0,1269.9,224.1,PF,4.15,Big,1.76,1.39,3.15,6.2
mooreet01,2017-2018,-0.833333333333333,-2.44666666666667,,,,,8445024.0,0.0852232145560231,28,7,NOP,SG,82,2586,3.0,3.4,0.2,0.74,0.07,0.0,0.0,517.2,1913.64,181.02,0.0,0.0,SG,1.89,Wing,0.35,-1.5,-1.15,3.34
morrima02,2017-2018,-1.00666666666667,-2.84666666666667,,,,,8000000.0,0.08073224142976801,28,7,WAS,PF,73,1968,0.5,-0.6,0.0,0.0,0.0,0.81,0.19,0.0,0.0,0.0,1594.08,373.92,PF,4.19,Big,-1.14,-0.12,-1.26,2.32
morrima03,2017-2018,-1.82,-1.04,,,,,5000000.0,0.05045765089360501,28,7,BOS,PF,54,1447,-0.1,-6.0,0.0,0.0,0.15,0.84,0.02,0.0,0.0,217.05,1215.48,28.94,PF,3.91,Wing,-0.59,-1.29,-1.88,1.15
parsoch01,2017-2018,-1.76666666666667,-3.03333333333333,,,,,23112004.0,0.23323548585672,29,7,MEM,SF,36,691,-7.2,-0.7,0.0,0.03,0.47,0.5,0.0,0.0,20.73,324.77,345.5,0.0,PF,3.47,Wing,-0.08,-1.97,-2.05,0.47
shumpim01,2017-2018,-2.3066666666666698,-1.75333333333333,,,,,10337079.0,0.104316944688323,27,7,CLE,SG,14,276,4.7,3.9,0.54,0.44,0.02,0.0,0.0,149.04,121.44,5.52,0.0,0.0,PG,1.48,Wing,-2.26,0.8,-1.46,0.3
singlky01,2017-2018,-4.73333333333333,,,,,,4666500.0,0.0470921255790015,29,6,OKC,SF,12,59,-2.6,-6.0,0.0,0.12,0.7,0.18,0.0,0.0,7.08,41.3,10.62,0.0,SF,3.06,Wing,-2.21,1.01,-1.2,0.07
thomais02,2017-2018,-4.55333333333333,-4.9666666666666694,,,,,6261395.0,0.0631870566033928,28,7,TOT,PG,32,862,-7.3,-7.9,1.0,0.0,0.0,0.0,0.0,862.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,-0.59,-3.64,-4.23,-0.63
thomptr01,2017-2018,-3.35333333333333,-1.8066666666666698,,,,,16400000.0,0.16550109493102402,26,7,CLE,C,53,1072,-4.3,-7.3,0.0,0.0,0.0,0.27,0.73,0.0,0.0,0.0,289.44,782.56,C,4.73,Big,-2.45,-1.33,-3.78,-0.45
thompkl01,2017-2018,1.00666666666667,-0.653333333333333,,,,,17826150.0,0.179893130695407,27,7,GSW,SG,73,2506,7.7,3.7,0.03,0.8,0.17,0.0,0.0,75.18,2004.8,426.02,0.0,0.0,SG,2.14,Wing,1.68,0.13,1.81,8.21
valanjo01,2017-2018,1.16,0.873333333333333,,,,,15460675.0,0.156021868345897,25,6,TOR,C,77,1727,5.9,-3.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1727.0,C,5.0,Big,-0.13,1.12,0.99,4.6
vucevni01,2017-2018,2.38666666666667,5.75333333333333,,,,,12250000.0,0.12362124468933199,27,7,ORL,C,57,1683,-1.7,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1683.0,C,5.0,Big,-0.27,2.5,2.23,5.92
walkeke02,2017-2018,3.60666666666667,2.9,,,,,12000000.0,0.12109836214465199,27,7,CHO,PG,80,2736,3.6,10.9,1.0,0.0,0.0,0.0,0.0,2736.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,4.36,-0.55,3.81,12.27
