BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,HEIGHT_PERCENTILE_ALL,WEIGHT_PERCENTILE_ALL,AGE_PERCENTILE_ALL,GAMES_PLAYER_PERCENTILE_ALL,GAMES_STARTED_PERCENTILE_ALL,MINUTES_PERCENTILE_ALL,FG_PERCENTILE_ALL,FGA_PERCENTILE_ALL,FG_PERCENT_PERCENTILE_ALL,THREE_POINT_MADE_PERCENTILE_ALL,THREE_POINT_ATTEMPT_PERCENTILE_ALL,THREE_POINT_PERCENT_PERCENTILE_ALL,TWO_POINT_MADE_PERCENTILE_ALL,TWO_POINT_ATTEMPT_PERCENTILE_ALL,TWO_POINT_PERCENT_PERCENTILE_ALL,EFG_PERCENT_PERCENTILE_ALL,TRUE_SHOOTING_PERCENT_PERCENTILE_ALL,FREE_THROW_MADE_PERCENTILE_ALL,FREE_THROW_ATTEMPT_PERCENTILE_ALL,FREE_THROW_PERCENT_PERCENTILE_ALL,OREB_PERCENTILE_ALL,DRB_PERCENTILE_ALL,TOTAL_PERCENTILE_ALL,AST_PERCENTILE_ALL,STL_PERCENTILE_ALL,BLK_PERCENTILE_ALL,TURNOVER_PERCENTILE_ALL,FOUL_PERCENTILE_ALL,POINTS_PERCENTILE_ALL,FG_MADE_PER100_PERCENTILE_ALL,FG_ATTEMPTED_PER100_PERCENTILE_ALL,THREE_POINT_MADE_PER100_PERCENTILE_ALL,THREE_POINT_ATTEMPT_PER100_PERCENTILE_ALL,TWO_POINT_MADE_PER100_PERCENTILE_ALL,TWO_POINT_ATTEMPT_PER100_PERCENTILE_ALL,FREE_THROW_MADE_PER100_PERCENTILE_ALL,FREE_THROW_ATTEMPT_PER100_PERCENTILE_ALL,THREE_POINT_ATTEMPT_RATE_PERCENTILE_ALL,FREE_THROW_RATE_PERCENTILE_ALL,ORB_PERCENT_PERCENTILE_ALL,DRB_PERCENT_PERCENTILE_ALL,TRB_PERCENT_PERCENTILE_ALL,AST_PERCENT_PERCENTILE_ALL,STL_PERCENT_PERCENTILE_ALL,BLK_PERCENT_PERCENTILE_ALL,TOV_PERCENT_PERCENTILE_ALL,USG_PERCENT_PERCENTILE_ALL,OFF_WIN_SHARES_PERCENTILE_ALL,DEF_WIN_SHARES_PERCENTILE_ALL,WIN_SHARES_PERCENTILE_ALL,WIN_SHARRES_PER_48_PERCENTILE_ALL,OFF_BPM_PERCENTILE_ALL,DEF_BPM_PERCENTILE_ALL,BPM_PERCENTILE_ALL,VORP_PERCENTILE_ALL,ADVANCED_POSITION_CLUSTER
liggide01,2017-2018,-2.6933333333333302,,,,,,0.33395176252319103,0.371057513914657,0.730983302411874,0.521335807050093,0.419294990723562,0.413729128014841,0.26530612244898005,0.287569573283859,0.16044776119402998,0.47309833024118697,0.45454545454545403,0.593877551020409,0.25231910946196695,0.26901669758812596,0.11977186311787101,0.261194029850746,0.145522388059702,0.10575139146567698,0.144712430426716,0.02,0.23376623376623398,0.363636363636363,0.33951762523191104,0.419294990723562,0.5918367346938779,0.521335807050093,0.31910946196660495,0.45454545454545403,0.26716141001855304,0.0463821892393321,0.025974025974026,0.382189239332096,0.324675324675325,0.0612244897959184,0.0742115027829314,0.0742115027829314,0.0723562152133581,0.759328358208955,0.0708955223880597,0.12244897959183698,0.287569573283859,0.198515769944341,0.369202226345083,0.88682745825603,0.6345083487940629,0.7444029850746271,0.012987012987013,0.0853432282003711,0.4359925788497221,0.332096474953618,0.24489795918367396,0.21521335807050102,0.799628942486085,0.40259740259740295,0.31910946196660495,Wing
macksh01,2017-2018,-1.3666666666666698,-4.28666666666667,,,,,0.10575139146567698,0.306122448979592,0.5936920222634511,0.6456400742115029,0.37847866419294995,0.5844155844155831,0.575139146567717,0.595547309833023,0.430970149253731,0.6363636363636359,0.630797773654916,0.514285714285715,0.595547309833024,0.617810760667904,0.36501901140684395,0.358208955223881,0.345149253731343,0.6196660482374761,0.6363636363636359,0.342,0.467532467532467,0.5621521335807039,0.5380333951762519,0.8998144712430429,0.7532467532467529,0.38775510204081604,0.716141001855287,0.49536178107606604,0.575139146567717,0.38961038961039,0.41001855287569605,0.458256029684601,0.421150278293135,0.4415584415584411,0.458256029684601,0.46753246753246797,0.47309833024118697,0.4701492537313429,0.529850746268657,0.25602968460111303,0.37662337662337697,0.320964749536178,0.935064935064935,0.7365491651205941,0.213358070500928,0.78544776119403,0.50834879406308,0.578849721706865,0.532467532467533,0.547309833024119,0.4248608534322821,0.487940630797774,0.36363636363636404,0.38404452690166996,0.18923933209647498,Guard
mirotni01,2017-2018,2.3,1.1,,,,,0.747680890538033,0.873840445269017,0.515769944341373,0.487940630797774,0.5862708719851579,0.636363636363635,0.7699443413729119,0.781076066790353,0.5335820895522391,0.8961038961038961,0.8942486085343242,0.7244897959183679,0.6790352504638221,0.658627087198516,0.6501901140684411,0.7294776119402979,0.722014925373134,0.758812615955473,0.7421150278293129,0.6940000000000011,0.730983302411874,0.888682745825603,0.8608534322820041,0.560296846011132,0.666048237476809,0.8126159554730981,0.5918367346938771,0.578849721706864,0.7940630797773671,0.836734693877551,0.846011131725417,0.944341372912802,0.936920222634509,0.554730983302412,0.5120593692022261,0.7068645640074208,0.641929499072356,0.8097014925373142,0.44962686567164206,0.61595547309833,0.8979591836734692,0.808905380333952,0.393320964749536,0.45454545454545403,0.7532467532467529,0.125,0.8126159554730981,0.7922077922077919,0.7532467532467529,0.788497217068646,0.7736549165120591,0.87012987012987,0.45454545454545403,0.7717996289424859,0.769944341372913,Big
mooreet01,2017-2018,-0.833333333333333,-2.44666666666667,,,,,0.170686456400742,0.176252319109462,0.6679035250463821,0.9536178107606679,0.957328385899815,0.955473098330245,0.907235621521336,0.8738404452690179,0.8097014925373129,0.886827458256029,0.8385899814471249,0.9142857142857159,0.868274582560298,0.8478664192949921,0.7680608365019008,0.8805970149253729,0.794776119402985,0.519480519480519,0.532467532467532,0.33,0.7198515769944341,0.645640074211502,0.656771799628942,0.8126159554730981,0.8812615955473101,0.469387755102041,0.7755102040816321,0.8961038961038961,0.8775510204081659,0.599257884972171,0.47309833024118697,0.6326530612244899,0.49350649350649295,0.539888682745826,0.450834879406308,0.120593692022263,0.11688311688311699,0.5037313432835809,0.0951492537313433,0.393320964749536,0.085343228200371,0.120593692022263,0.5064935064935061,0.5064935064935061,0.176252319109462,0.328358208955224,0.35621521335807005,0.8589981447124309,0.703153988868275,0.816326530612245,0.49721706864564,0.7847866419294991,0.43413729128014794,0.656771799628942,0.8051948051948051,Wing
morrima02,2017-2018,-1.00666666666667,-2.84666666666667,,,,,0.747680890538033,0.838589981447124,0.6679035250463821,0.7179962894248609,0.8979591836734692,0.80148423005566,0.8051948051948051,0.7829313543599259,0.6996268656716409,0.7402597402597401,0.734693877551021,0.653061224489797,0.8348794063079781,0.8163265306122459,0.6673003802281371,0.673507462686567,0.6623134328358211,0.7309833024118729,0.712430426716141,0.7100000000000011,0.8070500927643779,0.873840445269016,0.8645640074211509,0.7272727272727271,0.769944341372913,0.803339517625232,0.8534322820037109,0.970315398886827,0.77922077922078,0.684601113172542,0.61038961038961,0.515769944341373,0.44526901669758795,0.6697588126159549,0.6456400742115029,0.49165120593691997,0.43042671614100203,0.401119402985074,0.397388059701493,0.61595547309833,0.760667903525046,0.705009276437848,0.5621521335807049,0.45454545454545403,0.6679035250463821,0.688432835820895,0.625231910946197,0.6196660482374771,0.8293135435992579,0.721706864564008,0.48237476808905394,0.5139146567718,0.7068645640074208,0.62708719851577,0.688311688311688,Big
morrima03,2017-2018,-1.82,-1.04,,,,,0.6400742115027829,0.7198515769944341,0.6679035250463821,0.469387755102041,0.6437847866419301,0.617810760667902,0.7124304267161401,0.732838589981447,0.41604477611940294,0.769944341372913,0.77365491651206,0.667346938775511,0.6864564007421149,0.7291280148423008,0.334600760456274,0.4048507462686571,0.49440298507462704,0.7922077922077919,0.7717996289424859,0.65,0.6363636363636359,0.7792207792207779,0.7365491651205941,0.5231910946196661,0.558441558441559,0.469387755102041,0.595547309833024,0.545454545454545,0.7254174397031541,0.758812615955473,0.794063079777365,0.7736549165120591,0.732838589981447,0.6363636363636359,0.708719851576994,0.7922077922077919,0.75139146567718,0.535447761194029,0.595149253731343,0.50834879406308,0.7309833024118729,0.656771799628942,0.35064935064935104,0.34693877551020397,0.29313543599257896,0.182835820895522,0.795918367346938,0.601113172541744,0.846011131725417,0.705009276437848,0.675324675324675,0.5139146567718,0.471243042671614,0.47680890538033394,0.4860853432282,Wing
parsoch01,2017-2018,-1.76666666666667,-3.03333333333333,,,,,0.747680890538033,0.6437847866419301,0.730983302411874,0.34693877551020397,0.50278293135436,0.4007421150278279,0.44712430426716104,0.44712430426716,0.615671641791045,0.651205936920222,0.6048237476808901,0.906122448979593,0.39517625231910897,0.37847866419294895,0.543726235741445,0.8283582089552229,0.7350746268656708,0.298701298701299,0.322820037105751,0.174,0.352504638218924,0.38589981447124294,0.374768089053803,0.510204081632653,0.382189239332096,0.450834879406308,0.4248608534322821,0.37291280148423,0.44526901669758706,0.6196660482374771,0.5918367346938771,0.894248608534323,0.8144712430426719,0.374768089053803,0.348794063079777,0.161410018552876,0.22077922077922102,0.7966417910447758,0.156716417910448,0.35064935064935104,0.450834879406308,0.404452690166976,0.736549165120593,0.38404452690166996,0.597402597402597,0.513059701492537,0.545454545454545,0.525046382189239,0.324675324675325,0.448979591836735,0.45640074211502796,0.755102040816326,0.27458256029684597,0.539888682745826,0.4860853432282,Wing
shumpim01,2017-2018,-2.3066666666666698,-1.75333333333333,,,,,0.25231910946196695,0.450834879406308,0.5936920222634511,0.159554730983302,0.46753246753246797,0.26159554730983303,0.218923933209647,0.21706864564007397,0.16604477611940302,0.343228200371057,0.352504638218924,0.246938775510204,0.218923933209647,0.22077922077922102,0.347908745247148,0.167910447761194,0.18283582089552303,0.24675324675324697,0.24118738404452697,0.402,0.23376623376623398,0.26901669758812596,0.26159554730983303,0.26159554730983303,0.28385899814471194,0.280148423005566,0.276437847866419,0.230055658627087,0.22263450834879397,0.0927643784786642,0.0909090909090909,0.365491651205937,0.38404452690166996,0.155844155844156,0.14100185528757,0.34693877551020397,0.348794063079777,0.673507462686567,0.6138059701492541,0.45640074211502796,0.47680890538033394,0.461966604823748,0.35064935064935104,0.5640074211502779,0.50278293135436,0.910447761194029,0.14842300556586302,0.0853432282003711,0.22077922077922102,0.0890538033395176,0.13358070500927602,0.168831168831169,0.575139146567718,0.244897959183673,0.18923933209647498,Wing
singlky01,2017-2018,-4.73333333333333,,,,,,0.5380333951762519,0.6363636363636359,0.730983302411874,0.14842300556586302,0.0,0.11131725417439699,0.11688311688311699,0.131725417439703,0.0858208955223881,0.22820037105751398,0.192949907235622,0.832653061224491,0.12430426716141,0.155844155844156,0.0494296577946768,0.082089552238806,0.10261194029850801,0.202226345083488,0.230055658627087,0.09,0.0760667903525046,0.13543599257885,0.115027829313544,0.0779220779220779,0.0760667903525046,0.0,0.115027829313544,0.0853432282003711,0.14100185528757,0.29313543599257896,0.6437847866419301,0.458256029684601,0.348794063079777,0.374768089053803,0.7365491651205941,0.9257884972170691,0.981447124304268,0.31716417910447803,0.977611940298509,0.25602968460111303,0.680890538033394,0.5677179962894251,0.131725417439703,0.144712430426716,0.0,0.283582089552239,0.7217068645640071,0.13729128014842298,0.0,0.0890538033395176,0.0834879406307977,0.0445269016697588,0.0519480519480519,0.0408163265306122,0.18923933209647498,Wing
thomais02,2017-2018,-4.55333333333333,-4.9666666666666694,,,,,0.0,0.0760667903525046,0.6679035250463821,0.322820037105751,0.599257884972171,0.45640074211502596,0.532467532467532,0.6011131725417429,0.145522388059702,0.6697588126159549,0.705009276437848,0.310204081632653,0.530612244897959,0.5714285714285711,0.21863117870722398,0.156716417910448,0.289179104477612,0.781076066790352,0.7254174397031541,0.928000000000001,0.39703153988868295,0.304267161410018,0.31910946196660495,0.7569573283858999,0.348794063079777,0.23191094619666,0.747680890538033,0.38961038961038896,0.5844155844155839,0.7365491651205941,0.9035250463821891,0.7940630797773659,0.9109461966604829,0.5714285714285711,0.7198515769944341,0.9499072356215219,0.916512059369203,0.669776119402985,0.7388059701492541,0.341372912801484,0.0593692022263451,0.0649350649350649,0.910946196660482,0.144712430426716,0.15398886827458302,0.807835820895522,0.935064935064934,0.13729128014842298,0.278293135435993,0.244897959183673,0.16697588126159602,0.539888682745826,0.0500927643784787,0.176252319109462,0.0185528756957328,Guard
thomptr01,2017-2018,-3.35333333333333,-1.8066666666666698,,,,,0.747680890538033,0.7662337662337659,0.515769944341373,0.45454545454545403,0.654916512059369,0.513914656771797,0.49165120593691997,0.45269016697588005,0.891791044776119,0.0,0.0,0.0,0.608534322820037,0.575139146567718,0.792775665399239,0.7742537313432829,0.6809701492537309,0.49536178107606704,0.5677179962894251,0.094,0.9183673469387751,0.749536178107606,0.8107606679035251,0.35064935064935104,0.36363636363636404,0.5862708719851579,0.43413729128014794,0.551020408163265,0.46011131725417304,0.313543599257885,0.11131725417439699,0.0,0.0,0.617810760667903,0.5343228200371061,0.34693877551020397,0.50278293135436,0.0,0.794776119402985,0.955473098330241,0.873840445269016,0.9220779220779219,0.109461966604824,0.11688311688311699,0.541743970315399,0.451492537313433,0.11873840445269,0.7346938775510201,0.4359925788497221,0.612244897959184,0.703153988868275,0.426716141001855,0.421150278293135,0.37291280148423,0.18923933209647498,Big
thompkl01,2017-2018,1.00666666666667,-0.653333333333333,,,,,0.437847866419295,0.450834879406308,0.5936920222634511,0.7179962894248609,0.8979591836734692,0.9406307977736579,0.9647495361781091,0.9610389610389641,0.7276119402985071,0.9925788497217071,0.9795918367346959,0.938775510204083,0.916512059369203,0.9072356215213381,0.6539923954372621,0.8805970149253729,0.8190298507462679,0.656771799628942,0.641929499072356,0.786000000000001,0.551020408163265,0.7792207792207779,0.7235621521335809,0.8051948051948051,0.764378478664193,0.7736549165120591,0.8589981447124301,0.612244897959183,0.9610389610389641,0.9128014842300559,0.873840445269016,0.944341372912802,0.8849721706864571,0.7068645640074208,0.6864564007421149,0.235621521335807,0.196660482374768,0.654850746268656,0.0988805970149254,0.17996289424860898,0.257884972170686,0.250463821892393,0.5695732838589979,0.278293135435993,0.47680890538033394,0.22761194029850698,0.8218923933209641,0.879406307977737,0.7532467532467529,0.846011131725418,0.578849721706865,0.8998144712430429,0.139146567717996,0.61038961038961,0.7421150278293129,Wing
