SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
1998-99,Oregon,Pac-10,32,,948,6.9,17.1,0.404,4.8,10.3,0.467,2.1,6.8,0.309,3.3,4.5,0.738,7.9,4.3,1.2,1,,,19.3,Alex Scales,alex-scales-1
1999-00,Oregon,Pac-10,30,,961,7.5,16.4,0.455,5.2,9.7,0.536,2.2,6.7,0.338,3.2,4.2,0.78,5.4,3.1,1.7,0.5,,,20.4,Alex Scales,alex-scales-1
Career,Oregon,,62,,1909,7.2,16.7,0.429,5,10,0.501,2.2,6.7,0.323,3.3,4.3,0.758,6.6,3.7,1.5,0.8,,,19.8,Alex Scales,alex-scales-1
2006-07,UNC,ACC,38,0,242,5,9.9,0.5,5,9.9,0.5,0,0,,3,5.8,0.514,13.9,0.5,0.2,2,2.6,4.8,12.9,Alex Stepheson,alex-stepheson-1
2007-08,UNC,ACC,37,0,536,5.1,9.6,0.539,5.1,9.6,0.539,0,0,,1.6,3.5,0.447,12.5,0.5,0.4,2.5,2.6,5.6,11.9,Alex Stepheson,alex-stepheson-1
2009-10,USC,Pac-10,28,26,723,5.3,11.2,0.475,5.3,11.2,0.475,0,0,,2.4,4.9,0.494,11.1,0.4,0.2,2.4,2.7,3.7,13.1,Alex Stepheson,alex-stepheson-1
2010-11,USC,Pac-10,34,34,1118,4.9,8.9,0.552,4.9,8.9,0.552,0,0,,2.1,4.1,0.513,11.2,0.2,0.5,1.4,1.9,2.8,11.9,Alex Stepheson,alex-stepheson-1
Career,Overall,,137,60,2619,5.1,9.7,0.52,5.1,9.7,0.52,0,0,,2.2,4.4,0.497,11.7,0.4,0.4,2,2.3,3.8,12.3,Alex Stepheson,alex-stepheson-1
2003-04,Florida State,ACC,33,16,687,6,10.9,0.551,6,10.8,0.554,0,0.1,0,6.2,9.1,0.675,8,1.6,1.6,1.2,5.1,5.3,18.2,Alexander Johnson,alexander-johnson-1
2004-05,Florida State,ACC,30,29,525,5.8,12.7,0.455,5.6,12,0.462,0.2,0.7,0.333,3.8,6.6,0.575,9.8,1.2,1.8,1.2,5.3,6.4,15.6,Alexander Johnson,alexander-johnson-1
