SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
2003-04,Boston College,Big East,34,34,1156,4.5,9.8,0.465,3.9,7.8,0.502,0.6,2,0.316,4.3,6,0.723,7.8,3.3,1.5,0.3,2.5,2.4,14,Jared Dudley,jared-dudley-1
2004-05,Boston College,Big East,30,30,1079,6.1,12.5,0.488,5,9.2,0.544,1.1,3.3,0.333,5,6.6,0.754,8.3,3.5,1.8,0.3,1.8,2,18.4,Jared Dudley,jared-dudley-1
2005-06,Boston College,ACC,36,36,1340,5.9,12,0.494,4.9,9.2,0.537,1,2.8,0.351,5.1,7.2,0.71,7.1,3.4,1.2,0.4,2.1,1.7,17.9,Jared Dudley,jared-dudley-1
2006-07,Boston College,ACC,30,30,1152,6.8,12,0.562,5.4,9,0.602,1.4,3.1,0.443,4.9,6.6,0.743,8.6,3.1,1.5,0.3,2.7,2.3,19.8,Jared Dudley,jared-dudley-1
Career,Boston College,,130,130,4727,5.8,11.6,0.504,4.8,8.8,0.548,1,2.8,0.365,4.8,6.6,0.731,7.9,3.3,1.5,0.3,2.3,2.1,17.5,Jared Dudley,jared-dudley-1
2000-01,Indiana,Big Ten,34,34,1108,5.9,13.4,0.442,5.5,11.6,0.472,0.4,1.8,0.245,4.7,7.5,0.62,8.4,3,1.1,1.5,3.6,3.6,16.9,Jared Jeffries,jared-jeffries-1
2001-02,Indiana,Big Ten,36,36,1175,6.4,14.1,0.457,5.5,11.7,0.472,0.9,2.4,0.38,4.6,6.8,0.667,9.3,2.5,1.8,1.6,3.5,3,18.3,Jared Jeffries,jared-jeffries-1
Career,Indiana,,70,70,2283,6.2,13.8,0.45,5.5,11.7,0.472,0.7,2.1,0.325,4.6,7.2,0.643,8.9,2.7,1.5,1.5,3.5,3.3,17.7,Jared Jeffries,jared-jeffries-1
2000-01,Iowa,Big Ten,35,23,464,3.2,7.8,0.411,3.2,7.8,0.411,0,0,,2.8,4.2,0.673,8.6,1.6,0.3,1.7,3.1,7.2,9.2,Jared Reiner,jared-reiner-1
2001-02,Iowa,Big Ten,33,18,463,3.6,6.8,0.532,3.6,6.8,0.532,0,0,,1.6,2.4,0.679,7.2,2.1,0.3,2.2,3.1,5.5,8.9,Jared Reiner,jared-reiner-1
2002-03,Iowa,Big Ten,28,26,760,4.8,8.9,0.541,4.8,8.9,0.541,0,0,,4.6,6.2,0.744,12.2,2,1,1.8,3.5,3.7,14.3,Jared Reiner,jared-reiner-1
2003-04,Iowa,Big Ten,13,12,306,5.6,12.5,0.448,5.6,12.5,0.448,0,0,,6.7,9.9,0.671,12.2,2.6,0.9,1.4,4.2,5.5,17.9,Jared Reiner,jared-reiner-1
Career,Iowa,,109,79,1993,4.3,8.7,0.492,4.3,8.7,0.492,0,0,,3.8,5.4,0.704,10.2,2,0.7,1.8,3.4,5.2,12.4,Jared Reiner,jared-reiner-1
2010-11,Ohio State,Big Ten,37,36,1172,7.6,14,0.541,7.5,13.6,0.55,0.1,0.4,0.25,6.4,9.1,0.704,12.9,1.5,1.3,0.7,2,3.1,21.7,Jared Sullinger,jared-sullinger-1
2011-12,Ohio State,Big Ten,37,36,1123,8.1,15.6,0.519,7.6,14.2,0.531,0.6,1.4,0.4,6.2,8.1,0.768,12.1,1.6,1.5,1.4,2.5,3.9,23,Jared Sullinger,jared-sullinger-1
Career,Ohio State,,74,72,2295,7.8,14.8,0.53,7.5,13.9,0.541,0.3,0.9,0.365,6.3,8.6,0.733,12.5,1.6,1.4,1,2.3,3.5,22.3,Jared Sullinger,jared-sullinger-1
2014-15,Rhode Island,A-10,33,31,893,4.7,12.7,0.371,3.4,8.5,0.397,1.3,4.2,0.319,2.9,4.1,0.714,3.6,2.2,2.1,0.2,2.6,4.7,13.7,Jared Terrell,jared-terrell-1
2015-16,Rhode Island,A-10,32,32,1137,5.2,13.1,0.397,3.8,9,0.42,1.4,4.2,0.347,3.5,4.6,0.75,3.8,2.9,1.3,0.3,2.2,2.8,15.3,Jared Terrell,jared-terrell-1
2016-17,Rhode Island,A-10,35,34,1074,5.3,12.6,0.419,3.6,7.7,0.466,1.7,5,0.346,4.1,5.5,0.75,3.7,2.6,1.3,0.2,2,3.4,16.4,Jared Terrell,jared-terrell-1
2017-18,Rhode Island,A-10,34,34,1128,6.8,15.9,0.427,4.1,9.4,0.436,2.7,6.4,0.414,4.1,5,0.821,4.2,2.8,1.8,0.2,2.1,2.8,20.3,Jared Terrell,jared-terrell-1
Career,Rhode Island,,134,131,4232,5.5,13.6,0.406,3.7,8.7,0.43,1.8,5,0.365,3.7,4.8,0.763,3.9,2.7,1.6,0.2,2.2,3.3,16.6,Jared Terrell,jared-terrell-1
2010-11,Virginia Tech,ACC,27,0,295,3.4,9.2,0.368,2.4,4.9,0.5,0.9,4.3,0.219,3,4.3,0.688,8,1.8,0.5,1.2,2.3,4.3,10.7,Jarell Eddie,jarell-eddie-1
2011-12,Virginia Tech,ACC,33,32,900,4.1,9.7,0.425,1.7,4.3,0.402,2.4,5.4,0.443,2.6,3,0.868,7.1,2,0.8,0.6,2.1,4.5,13.3,Jarell Eddie,jarell-eddie-1
2012-13,Virginia Tech,ACC,32,28,970,5.4,13.6,0.396,3.3,7.1,0.465,2.1,6.6,0.321,3.3,3.9,0.842,7.3,1.7,0.5,1,2.7,2.7,16.2,Jarell Eddie,jarell-eddie-1
2013-14,Virginia Tech,ACC,31,30,1011,5.3,14.9,0.355,2.1,6.5,0.329,3.2,8.4,0.376,2.5,3.2,0.778,6.6,1.5,0.4,0.4,2.1,1.9,16.3,Jarell Eddie,jarell-eddie-1
Career,Virginia Tech,,123,90,3176,4.8,12.5,0.385,2.4,5.9,0.407,2.4,6.6,0.365,2.8,3.5,0.812,7.1,1.8,0.5,0.7,2.3,3.1,14.9,Jarell Eddie,jarell-eddie-1
2013-14,LSU,SEC,32,25,837,5.8,12.3,0.471,4.5,8.4,0.534,1.3,3.9,0.333,3,4.3,0.689,7,1.4,1.3,1.1,2.5,3.7,15.8,Jarell Martin,jarell-martin-1
2014-15,LSU,SEC,33,32,1159,7,13.7,0.509,6.5,11.9,0.545,0.5,1.8,0.269,4.8,7,0.69,10.5,2,1.3,0.8,3.2,3.2,19.3,Jarell Martin,jarell-martin-1
Career,LSU,,65,57,1996,6.5,13.1,0.494,5.7,10.4,0.541,0.8,2.7,0.308,4,5.9,0.689,9,1.8,1.3,0.9,2.9,3.4,17.8,Jarell Martin,jarell-martin-1
2017-18,Michigan State,Big Ten,35,34,764,6.2,12.1,0.513,4.2,7.1,0.596,2,5,0.396,5.5,7,0.797,10.6,2,1.1,5.5,3.2,5.9,20,Jaren Jackson,jaren-jacksonjr-1
Career,Michigan State,,35,34,764,6.2,12.1,0.513,4.2,7.1,0.596,2,5,0.396,5.5,7,0.797,10.6,2,1.1,5.5,3.2,5.9,20,Jaren Jackson,jaren-jacksonjr-1
2011-12,Tennessee,SEC,17,14,436,5.8,10.9,0.529,5.8,10.6,0.543,0,0.3,0,3.4,6,0.569,11.6,1.1,1.5,2.1,3.2,3.6,15,Jarnell Stokes,jarnell-stokes-1
2012-13,Tennessee,SEC,33,33,952,6.3,11.8,0.528,6.3,11.8,0.528,0,0,,4.6,8.2,0.567,13.4,1.8,1,1.6,2.9,3.3,17.1,Jarnell Stokes,jarnell-stokes-1
2013-14,Tennessee,SEC,37,37,1199,6.6,12.5,0.531,6.6,12.5,0.531,0,0,,5.3,7.7,0.696,13.1,2.5,0.9,1.1,2.6,2.4,18.6,Jarnell Stokes,jarnell-stokes-1
Career,Tennessee,,87,84,2587,6.4,12,0.53,6.4,12,0.532,0,0,0,4.7,7.6,0.628,12.9,2,1,1.5,2.8,2.9,17.5,Jarnell Stokes,jarnell-stokes-1
2013-14,Clemson,ACC,33,30,774,3.2,8.1,0.395,2.7,5.5,0.486,0.5,2.6,0.2,1.4,2.4,0.596,8.5,0.7,0.5,0.7,1.3,2.6,8.4,Jaron Blossomgame,jaron-blossomgame-1
2014-15,Clemson,ACC,31,31,958,6,12.4,0.486,5.3,9.9,0.536,0.7,2.5,0.288,4.3,6,0.708,10.6,1.3,1,0.5,2.3,1.9,17,Jaron Blossomgame,jaron-blossomgame-1
2015-16,Clemson,ACC,31,31,1060,7.6,14.8,0.513,5.9,11,0.536,1.7,3.8,0.446,5,6.4,0.782,7.8,1.8,0.9,1.5,2.1,2.4,21.9,Jaron Blossomgame,jaron-blossomgame-1
2016-17,Clemson,ACC,33,33,1133,7.8,15.6,0.499,6.9,12.3,0.565,0.8,3.3,0.255,4.2,5.9,0.714,7.3,1.8,1,1.1,2,1.9,20.6,Jaron Blossomgame,jaron-blossomgame-1
Career,Clemson,,128,125,3925,6.4,13.1,0.488,5.4,10,0.541,1,3.1,0.316,3.9,5.4,0.724,8.5,1.4,0.8,1,1.9,2.2,17.7,Jaron Blossomgame,jaron-blossomgame-1
2017-18,Kentucky,SEC,14,0,238,4.9,11.4,0.426,4.9,11.3,0.433,0,0.2,0,4,6.4,0.632,18.5,2.4,1,1.8,2.5,6.2,13.8,Jarred Vanderbilt,jarred-vanderbilt-1
Career,Kentucky,,14,0,238,4.9,11.4,0.426,4.9,11.3,0.433,0,0.2,0,4,6.4,0.632,18.5,2.4,1,1.8,2.5,6.2,13.8,Jarred Vanderbilt,jarred-vanderbilt-1
2016-17,Texas,Big 12,33,33,1061,6.7,11.9,0.566,6.7,11.6,0.579,0,0.3,0,3.2,5.6,0.564,10.5,1,0.7,1.9,3.2,2.6,16.7,Jarrett Allen,jarrett-allen-1
Career,Texas,,33,33,1061,6.7,11.9,0.566,6.7,11.6,0.579,0,0.3,0,3.2,5.6,0.564,10.5,1,0.7,1.9,3.2,2.6,16.7,Jarrett Allen,jarrett-allen-1
2002-03,Georgia Tech,ACC,31,31,984,3.9,8.7,0.455,3.3,6.2,0.523,0.7,2.4,0.283,3.4,4.8,0.703,4.5,7.5,2.1,0.1,4.3,2.7,12,Jarrett Jack,jarrett-jack-1
2003-04,Georgia Tech,ACC,38,38,1185,4.9,10.7,0.456,3.9,7.5,0.516,1,3.2,0.316,5.2,6.5,0.802,6.2,7.2,2.5,0.2,3.9,2.7,16,Jarrett Jack,jarrett-jack-1
2004-05,Georgia Tech,ACC,32,31,1091,6,11.7,0.514,4.3,7.9,0.549,1.7,3.8,0.442,4.5,5.2,0.866,5.7,5.3,2.1,0.1,4,2,18.2,Jarrett Jack,jarrett-jack-1
Career,Georgia Tech,,101,100,3260,5,10.4,0.478,3.8,7.3,0.53,1.1,3.2,0.359,4.4,5.5,0.796,5.5,6.7,2.2,0.1,4.1,2.5,15.5,Jarrett Jack,jarrett-jack-1
2013-14,Iowa,Big Ten,33,0,601,5.6,11.2,0.5,4.5,8.5,0.523,1.1,2.7,0.425,4.5,5.5,0.817,10.1,1.7,0.7,2.3,2.1,2.5,16.8,Jarrod Uthoff,jarrod-uthoff-1
2014-15,Iowa,Big Ten,34,34,1031,6.1,14.1,0.43,4,8.5,0.468,2.1,5.6,0.372,2.2,2.9,0.737,8.5,2.3,1.5,2.2,1.4,2,16.4,Jarrod Uthoff,jarrod-uthoff-1
2015-16,Iowa,Big Ten,33,33,1016,8.6,19.2,0.448,6,12.4,0.484,2.6,6.8,0.382,4.8,5.9,0.813,8.2,1.4,1.3,3.4,1.5,2,24.6,Jarrod Uthoff,jarrod-uthoff-1
Career,Iowa,,100,67,2648,6.9,15.4,0.45,4.8,10,0.486,2.1,5.4,0.383,3.7,4.7,0.795,8.7,1.8,1.2,2.7,1.6,2.1,19.6,Jarrod Uthoff,jarrod-uthoff-1
1997-98,Stanford,Pac-10,34,,,,,0.53,,,0.551,,,0.2,,,0.609,,,,,,,,Jarron Collins,jarron-collins-1
1998-99,Stanford,Pac-10,30,,516,4.5,9.1,0.496,4.5,9,0.5,0,0.1,0,4.7,7.8,0.594,12.2,1.5,1.2,0.7,2.3,5.4,13.6,Jarron Collins,jarron-collins-1
1999-00,Stanford,Pac-10,31,,850,5.4,11.1,0.485,5.3,10.9,0.489,0,0.2,0.25,5.3,7.4,0.72,9.5,2.5,0.9,1.1,2.2,3.6,16.1,Jarron Collins,jarron-collins-1
2000-01,Stanford,Pac-10,34,34,963,6.4,11.5,0.558,6.3,11.2,0.563,0.1,0.2,0.333,5.2,7.6,0.687,9.5,2,0.9,0.8,2.1,3.6,18.1,Jarron Collins,jarron-collins-1
Career,Stanford,,129,34,2329,6.4,12.2,0.52,6.3,11.9,0.527,0.1,0.3,0.25,5.8,8.7,0.669,12.1,2.4,1.3,0.9,2.2,4,18.6,Jarron Collins,jarron-collins-1
1999-00,Western Carolina,Southern,28,,784,9.1,21.4,0.424,6.3,13.8,0.458,2.8,7.6,0.362,3.5,4.6,0.767,7.7,1.4,2.3,0.7,2.4,3.7,24.4,Jarvis Hayes,jarvis-hayes-1
2001-02,Georgia,SEC,29,29,980,8.7,19.2,0.451,6.7,13.1,0.509,2,6.1,0.327,2.7,3.5,0.765,6.2,1.8,1.4,0.6,2.4,2.1,22,Jarvis Hayes,jarvis-hayes-1
2002-03,Georgia,SEC,27,27,872,8.5,16.9,0.503,6,11.1,0.544,2.5,5.8,0.425,3.2,4,0.784,5.5,2.5,1.4,0.6,1.7,2.9,22.6,Jarvis Hayes,jarvis-hayes-1
Career,Overall,,84,56,2636,8.7,19.1,0.457,6.3,12.6,0.502,2.4,6.5,0.369,3.1,4,0.772,6.4,1.9,1.7,0.6,2.2,2.9,22.9,Jarvis Hayes,jarvis-hayes-1
2006-07,Mississippi State,SEC,35,13,473,6.3,9.8,0.647,6.3,9.7,0.652,0,0.1,0,2,3.8,0.533,12.3,0.9,1,5.7,1.6,6.3,14.7,Jarvis Varnado,jarvis-varnado-1
2007-08,Mississippi State,SEC,34,34,968,4.5,7,0.641,4.5,6.9,0.643,0,0.1,0.5,2.1,4.1,0.5,10.9,0.7,0.7,6.5,1.7,4.1,11.1,Jarvis Varnado,jarvis-varnado-1
2008-09,Mississippi State,SEC,36,36,1012,7.1,13,0.549,7.1,12.9,0.55,0,0,0,4.1,6.3,0.654,12.5,1.1,0.9,6.7,2.4,3.3,18.3,Jarvis Varnado,jarvis-varnado-1
2009-10,Mississippi State,SEC,36,36,1141,6.5,11.1,0.582,6.5,11.1,0.582,0,0,,4.5,7.4,0.61,12.9,1.1,0.8,6,2.5,3.1,17.4,Jarvis Varnado,jarvis-varnado-1
Career,Mississippi State,,141,119,3594,6.1,10.4,0.589,6.1,10.3,0.591,0,0,0.25,3.4,5.7,0.595,12.2,1,0.8,6.3,2.1,3.8,15.6,Jarvis Varnado,jarvis-varnado-1
1996-97,Indiana,Big Ten,33,,778,5.8,13.3,0.434,5.4,12.6,0.433,0.3,0.7,0.462,4.1,6,0.684,9.7,1.2,0.8,1.7,3.7,3.9,15.9,Jason Collier,jason-collier-1
1997-98,Indiana,Big Ten,9,,,,,0.563,,,0.563,,,,,,0.667,,,,,,,,Jason Collier,jason-collier-1
1998-99,Georgia Tech,ACC,25,,849,7.2,16.3,0.441,5.7,12.1,0.471,1.5,4.2,0.356,4.3,6,0.719,8.6,1.7,0.7,1.6,4.1,4.1,20.3,Jason Collier,jason-collier-1
1999-00,Georgia Tech,ACC,30,,975,7.3,15.4,0.473,6,12,0.503,1.3,3.4,0.369,5,6.8,0.735,11.3,2,0.9,1.4,3.9,3.3,20.9,Jason Collier,jason-collier-1
Career,Overall,,97,,2602,7.4,16.1,0.458,6.3,13.2,0.478,1.1,2.9,0.369,4.9,6.9,0.711,10.7,1.8,0.9,1.7,3.9,3.7,20.7,Jason Collier,jason-collier-1
1997-98,Stanford,Pac-10,1,,,,,0.25,,,0.25,,,,,,0.714,,,,,,,,Jason Collins,jason-collins-1
1998-99,Stanford,Pac-10,7,,89,4,8.1,0.5,4,8.1,0.5,0,0,,4.9,10.3,0.478,10.3,0.9,0.4,1.3,2.2,5.4,13,Jason Collins,jason-collins-1
1999-00,Stanford,Pac-10,31,,607,5.5,8.9,0.622,5.5,8.8,0.627,0,0.1,0,5.8,8.8,0.662,12.5,0.1,0.3,2.8,3.3,4.7,16.9,Jason Collins,jason-collins-1
2000-01,Stanford,Pac-10,34,34,895,7.5,12.1,0.62,7,10.9,0.637,0.5,1.2,0.462,6.5,8.3,0.784,11.8,2.3,1.3,1.9,2.4,3.5,22,Jason Collins,jason-collins-1
Career,Stanford,,73,34,1591,6.6,10.8,0.612,6.3,10.1,0.623,0.3,0.7,0.444,6.3,8.7,0.716,12.2,1.4,0.9,2.2,2.7,4.1,19.7,Jason Collins,jason-collins-1
1996-97,Syracuse,Big East,32,,1142,4,10.4,0.379,3.2,8,0.395,0.8,2.5,0.329,2,2.9,0.69,4,6.4,3.2,0.1,3.5,3,10.8,Jason Hart,jason-hart-1
1997-98,Syracuse,Big East,35,,,,,0.366,,,0.409,,,0.26,,,0.684,,,,,,,,Jason Hart,jason-hart-1
1998-99,Syracuse,Big East,33,,1068,6.3,15.2,0.41,4.3,9.8,0.435,2,5.4,0.366,2.7,3.6,0.74,3.7,5.4,3.8,0.2,3.9,3.7,17.2,Jason Hart,jason-hart-1
1999-00,Syracuse,Big East,32,,1083,4.6,11.2,0.411,3.2,7,0.46,1.4,4.2,0.33,3.5,4.7,0.734,3.5,7.7,2.2,0.1,4.1,2.9,14.1,Jason Hart,jason-hart-1
Career,Syracuse,,132,,3293,6.4,16.2,0.393,4.7,11.1,0.424,1.7,5.2,0.326,3.8,5.4,0.712,5.3,8.6,4,0.2,3.8,3.2,18.3,Jason Hart,jason-hart-1
1999-00,UCLA,Pac-10,33,,1080,7.1,13.6,0.519,4,7.2,0.559,3,6.4,0.474,2.4,3.5,0.684,5.3,2.4,1.3,0.1,3,3,19.6,Jason Kapono,jason-kapono-1
2000-01,UCLA,Pac-10,32,31,1122,6,13.5,0.441,3,7,0.426,3,6.6,0.457,4.7,5.5,0.869,6.5,2.6,1.4,0.1,2.9,2.9,19.6,Jason Kapono,jason-kapono-1
2001-02,UCLA,Pac-10,33,33,1142,6,13,0.459,2.9,6.2,0.466,3,6.7,0.453,3.5,4.1,0.856,5.9,2.5,0.7,0.1,2.2,2.3,18.5,Jason Kapono,jason-kapono-1
2002-03,UCLA,Pac-10,29,29,969,7.1,15.4,0.457,4.4,8.8,0.502,2.6,6.6,0.398,3.3,3.8,0.88,6.2,2.4,0.7,0,2.5,2.7,20.1,Jason Kapono,jason-kapono-1
Career,UCLA,,127,93,4313,6.5,13.8,0.469,3.5,7.2,0.489,2.9,6.6,0.446,3.5,4.2,0.83,6,2.5,1,0.1,2.7,2.7,19.4,Jason Kapono,jason-kapono-1
1992-93,California,Pac-10,29,,922,5.8,12.5,0.463,4.7,8.8,0.537,1,3.6,0.286,3.8,5.8,0.657,6.2,9.6,4.8,0.3,4.9,3.1,16.4,Jason Kidd,jason-kidd-1
1993-94,California,Pac-10,30,,1053,6.3,13.4,0.472,4.4,8,0.545,1.9,5.4,0.362,4.4,6.4,0.692,7.9,10.3,3.6,0.3,4.9,3,19,Jason Kidd,jason-kidd-1
Career,California,,59,,1975,6.1,12.9,0.468,4.5,8.4,0.541,1.5,4.6,0.333,4.2,6.1,0.677,7.1,10,4.1,0.3,4.9,3,17.8,Jason Kidd,jason-kidd-1
2001-02,Cincinnati,CUSA,35,3,732,6.4,11.6,0.552,6.4,11.6,0.552,0,0,,2.6,4.5,0.585,13,0.2,1.3,2.8,1.4,5,15.4,Jason Maxiell,jason-maxiell-1
2002-03,Cincinnati,CUSA,29,27,879,5.9,13.2,0.445,5.9,13.2,0.446,0,0,0,3.9,5.8,0.672,8.9,0.6,0.6,2,2.3,3.6,15.7,Jason Maxiell,jason-maxiell-1
2003-04,Cincinnati,CUSA,32,32,915,6.6,13.3,0.5,6.6,13.2,0.502,0,0,0,5.7,8.3,0.681,9.7,1.9,0.9,2.9,2.1,3.4,19,Jason Maxiell,jason-maxiell-1
2004-05,Cincinnati,CUSA,33,33,1037,6.3,11.6,0.543,6.2,11.5,0.545,0.1,0.2,0.4,6.8,10.5,0.645,9.8,1.1,1.3,3.5,2.5,3.2,19.5,Jason Maxiell,jason-maxiell-1
Career,Cincinnati,,129,95,3563,6.3,12.4,0.507,6.3,12.4,0.509,0,0.1,0.286,4.9,7.6,0.653,10.2,1,1,2.8,2.1,3.7,17.6,Jason Maxiell,jason-maxiell-1
1999-00,Michigan State,Big Ten,37,,582,5.4,10.8,0.503,4.9,8.9,0.546,0.5,1.9,0.296,1.6,2.9,0.548,10.5,1.6,1.4,0.4,2.6,3.8,13,Jason Richardson,jason-richardson-1
2000-01,Michigan State,Big Ten,33,32,940,7.7,15.4,0.503,5.7,10.2,0.554,2.1,5.2,0.402,3.1,4.5,0.689,8.3,3.1,1.6,1.2,1.8,3.1,20.7,Jason Richardson,jason-richardson-1
Career,Michigan State,,70,32,1522,6.9,13.6,0.503,5.4,9.7,0.551,1.5,3.9,0.383,2.5,3.9,0.649,9.1,2.5,1.5,0.9,2.1,3.4,17.7,Jason Richardson,jason-richardson-1
2004-05,Colorado State,MWC,26,11,635,6.5,11.7,0.554,6.3,11,0.575,0.2,0.8,0.25,4.1,6,0.684,9.6,2.8,0.7,2.3,3.3,5.5,17.3,Jason Smith,jason-smith-1
2005-06,Colorado State,MWC,31,31,889,8,15.5,0.517,7.8,15,0.52,0.2,0.5,0.455,6.4,8.4,0.763,10.2,3.1,0.9,3,5,4.6,22.6,Jason Smith,jason-smith-1
2006-07,Colorado State,MWC,30,28,905,7.7,13.3,0.579,7.7,13.2,0.585,0,0.1,0,6.8,8.8,0.77,13.4,2.6,0.7,2.1,4.5,4.2,22.3,Jason Smith,jason-smith-1
Career,Colorado State,,87,70,2429,7.5,13.7,0.548,7.4,13.3,0.556,0.1,0.4,0.308,5.9,7.9,0.751,11.2,2.8,0.8,2.5,4.4,4.7,21.1,Jason Smith,jason-smith-1
1995-96,Arizona,Pac-10,31,0,303,4.2,7.8,0.542,2.2,4.4,0.515,2,3.4,0.577,2.1,3.6,0.593,3,4.6,2.5,0,4.6,3.7,12.5,Jason Terry,jason-terry-1
1996-97,Arizona,Pac-10,34,18,1037,4.8,10.8,0.443,3.2,6.1,0.528,1.5,4.7,0.331,2.8,3.9,0.713,3.5,5.8,3.3,0.1,2.8,2.5,13.9,Jason Terry,jason-terry-1
1997-98,Arizona,Pac-10,35,0,797,6.2,14.8,0.422,3.2,5.9,0.534,3.1,8.8,0.347,3.1,3.8,0.827,4.2,7.5,3.1,0.4,3.8,2.8,18.6,Jason Terry,jason-terry-1
1998-99,Arizona,Pac-10,29,,1107,7.6,17.1,0.443,4.8,10.2,0.473,2.7,6.9,0.398,5.1,6.1,0.839,3.5,5.7,2.9,0.2,4.3,1.4,22.9,Jason Terry,jason-terry-1
Career,Arizona,,129,18,3244,6,13.6,0.443,3.7,7.3,0.503,2.4,6.3,0.374,3.6,4.6,0.784,3.6,6.1,3,0.2,3.7,2.3,18,Jason Terry,jason-terry-1
2004-05,Rider,MAAC,30,21,830,5,11.4,0.441,4.7,10.1,0.467,0.3,1.3,0.231,2.9,4.4,0.659,10.7,2.2,1,1.4,2.2,3.7,13.2,Jason Thompson,jason-thompson-1
2005-06,Rider,MAAC,27,26,858,7.4,13.6,0.546,7.1,12.6,0.563,0.3,1,0.333,5.7,8.2,0.703,10.5,2,1.1,2.2,3.7,4,20.9,Jason Thompson,jason-thompson-1
2006-07,Rider,MAAC,31,31,1057,8.4,16.1,0.52,8.1,15.3,0.533,0.2,0.8,0.273,6.7,9.2,0.724,11.8,2.5,0.9,2.5,3.5,3.9,23.6,Jason Thompson,jason-thompson-1
2007-08,Rider,MAAC,34,34,1177,9.3,16.7,0.56,9,15.5,0.578,0.4,1.2,0.324,4.5,7.8,0.581,14,3.2,1.2,3.1,3.4,3.4,23.6,Jason Thompson,jason-thompson-1
Career,Rider,,122,112,3922,7.7,14.7,0.526,7.4,13.7,0.544,0.3,1.1,0.291,5,7.5,0.667,11.9,2.5,1.1,2.4,3.2,3.7,20.8,Jason Thompson,jason-thompson-1
1995-96,Marshall,Southern,28,,816,7.1,13.5,0.522,5.3,9,0.592,1.7,4.5,0.38,2.5,3.4,0.743,4.9,8.7,2.5,0.4,3.7,2.4,18.4,Jason Williams,jason-williams-1
1997-98,Florida,SEC,20,,,,,0.441,,,0.483,,,0.403,,,0.84,,,,,,,,Jason Williams,jason-williams-1
Career,Overall,,48,,816,12.5,26,0.483,8.2,14.9,0.549,4.4,11.1,0.394,5.6,7.1,0.793,7.7,15.3,5,0.6,3.7,2.4,35.1,Jason Williams,jason-williams-1
2006-07,Nevada,WAC,33,0,330,5.5,9.1,0.6,5.2,8.7,0.597,0.2,0.4,0.667,1.9,4.1,0.471,8.7,0.4,0.7,3.6,3,6.4,13.1,JaVale McGee,javale-mcgee-1
2007-08,Nevada,WAC,33,31,902,8.4,15.8,0.529,7.8,14,0.556,0.6,1.9,0.333,3.3,6.3,0.525,10.7,0.9,1.2,4.1,3.5,3.6,20.7,JaVale McGee,javale-mcgee-1
Career,Nevada,,66,31,1232,7.6,14,0.542,7.1,12.6,0.563,0.5,1.5,0.356,2.9,5.7,0.514,10.2,0.7,1,4,3.4,4.4,18.6,JaVale McGee,javale-mcgee-1
2006-07,Georgia Tech,ACC,32,31,1003,6.3,14,0.45,4.9,10,0.488,1.4,4,0.356,4.3,5.5,0.783,4.7,7.3,2.6,0.1,4.9,2.7,18.3,Javaris Crittenton,javaris-crittenton-1
Career,Georgia Tech,,32,31,1003,6.3,14,0.45,4.9,10,0.488,1.4,4,0.356,4.3,5.5,0.783,4.7,7.3,2.6,0.1,4.9,2.7,18.3,Javaris Crittenton,javaris-crittenton-1
2001-02,UNC,ACC,28,9,650,6.4,12.4,0.515,5.1,9,0.565,1.3,3.4,0.382,2.7,4.9,0.557,7.3,2.1,1,1,2.7,2.4,16.8,Jawad Williams,jawad-williams-1
2002-03,UNC,ACC,34,33,1137,6.4,14.3,0.448,4.8,9.5,0.507,1.6,4.8,0.331,3.4,4.5,0.752,6.7,2.4,1.2,1.3,2.1,2.5,17.8,Jawad Williams,jawad-williams-1
2003-04,UNC,ACC,29,26,780,6.5,14.2,0.458,5.6,11.2,0.5,0.9,3,0.305,4.7,6.5,0.724,8.1,2.1,0.8,0.7,2.3,2.6,18.7,Jawad Williams,jawad-williams-1
2004-05,UNC,ACC,37,37,888,8,14.8,0.541,6.2,10.1,0.616,1.8,4.7,0.381,3.9,4.8,0.813,6.7,2.3,1.1,0.9,2.4,2.8,21.8,Jawad Williams,jawad-williams-1
Career,UNC,,128,105,3455,6.8,14.1,0.487,5.4,9.9,0.544,1.4,4.1,0.349,3.7,5.1,0.724,7.1,2.2,1.1,1,2.4,2.6,18.8,Jawad Williams,jawad-williams-1
2015-16,Oklahoma State,Big 12,22,20,635,6.1,13,0.471,4.9,10.5,0.47,1.2,2.5,0.475,4.4,5.3,0.833,6,6.8,1.6,0.3,3.5,3.4,17.8,Jawun Evans,jawun-evans-1
2016-17,Oklahoma State,Big 12,32,32,936,9,20.6,0.438,7.5,16.5,0.452,1.5,4.1,0.379,6.6,8.2,0.812,4.7,8.7,2.4,0.2,3.8,3.2,26.2,Jawun Evans,jawun-evans-1
Career,Oklahoma State,,54,52,1571,7.8,17.5,0.448,6.4,14.1,0.458,1.4,3.4,0.407,5.7,7,0.818,5.2,7.9,2.1,0.2,3.7,3.3,22.8,Jawun Evans,jawun-evans-1
